paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
sexual_00001,https://pubmed.ncbi.nlm.nih.gov/29729394/,Neural correlates of gender differences in distractibility by sexual stimuli.,"Strahler J, Kruse O, Wehrum-Osinsky S, Klucken T, Stark R",NeuroImage,0.845,29729394,-1,-1
sexual_00002,https://pubmed.ncbi.nlm.nih.gov/26648855/,Neural Substrates of Sexual Desire in Individuals with Problematic Hypersexual Behavior.,"Seok JW, Sohn JH",Frontiers in behavioral neuroscience,0.735,26648855,-1,-1
sexual_00003,https://pubmed.ncbi.nlm.nih.gov/16979350/,A functional endophenotype for sexual orientation in humans.,"Ponseti J, Bosinski HA, Wolff S, Peller M, Jansen O, Mehdorn HM, Buchel C, Siebner HR",NeuroImage,0.704,16979350,-1,-1
sexual_00004,https://pubmed.ncbi.nlm.nih.gov/23955492/,Brain responses to erotic and other emotional stimuli in breast cancer survivors  with and without distress about low sexual desire: a preliminary fMRI study.,"Versace F, Engelmann JM, Jackson EF, Slapin A, Cortese KM, Bevers TB, Schover LR",Brain imaging and behavior,0.684,23955492,-1,-1
sexual_00005,https://pubmed.ncbi.nlm.nih.gov/17636559/,Brain response to visual sexual stimuli in heterosexual and homosexual males.,"Paul T, Schiffer B, Zwarg T, Kruger TH, Karama S, Schedlowski M, Forsting M, Gizewski ER",Human brain mapping,0.681,17636559,-1,-1
sexual_00006,https://pubmed.ncbi.nlm.nih.gov/28755632/,Heightened activity in social reward networks is associated with adolescents' risky sexual behaviors.,"Eckstrand KL, Choukas-Bradley S, Mohanty A, Cross M, Allen NB, Silk JS, Jones NP, Forbes EE",Developmental cognitive neuroscience,0.668,28755632,-1,-1
sexual_00007,https://pubmed.ncbi.nlm.nih.gov/23835204/,Neural mechanisms of impulse control in sexually risky adolescents.,"Goldenberg D, Telzer EH, Lieberman MD, Fuligni A, Galvan A",Developmental cognitive neuroscience,0.667,23835204,-1,-1
sexual_00008,https://pubmed.ncbi.nlm.nih.gov/28683981/,Noradrenergic modulation of neural erotic stimulus perception.,"Graf H, Wiegers M, Metzger CD, Walter M, Gron G, Abler B",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.662,28683981,-1,-1
sexual_00009,https://pubmed.ncbi.nlm.nih.gov/15961048/,Dynamics of male sexual arousal: distinct components of brain activation revealed by fMRI.,"Ferretti A, Caulo M, Del Gratta C, Di Matteo R, Merla A, Montorsi F, Pizzella V, Pompa P, Rigatti P, Rossini PM, Salonia A, Tartaro A, Romani GL",NeuroImage,0.658,15961048,-1,-1
sexual_00010,https://pubmed.ncbi.nlm.nih.gov/22006991/,Neural correlates of exposure to subliminal and supraliminal sexual cues.,"Gillath O, Canterberry M",Social cognitive and affective neuroscience,0.656,22006991,-1,-1
