paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
si_00001,https://pubmed.ncbi.nlm.nih.gov/25882754/,cTBS delivered to the left somatosensory cortex changes its functional connectivity during rest.,"Valchev N, Curcic-Blake B, Renken RJ, Avenanti A, Keysers C, Gazzola V, Maurits NM",NeuroImage,0.688,25882754,-1,-1
si_00002,https://pubmed.ncbi.nlm.nih.gov/20519541/,Development of the selection and manipulation of self-generated thoughts in adolescence.,"Dumontheil I, Hassan B, Gilbert SJ, Blakemore SJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.632,20519541,-1,-1
si_00003,https://pubmed.ncbi.nlm.nih.gov/21976356/,Rostral prefrontal cortex and the focus of attention in prospective memory.,"Benoit RG, Gilbert SJ, Frith CD, Burgess PW","Cerebral cortex (New York, N.Y. : 1991)",0.545,21976356,-1,-1
si_00004,https://pubmed.ncbi.nlm.nih.gov/18585060/,Evoked magnetic fields following noxious laser stimulation of the thigh in humans.,"Nakata H, Tamura Y, Sakamoto K, Akatsuka K, Hirai M, Inui K, Hoshiyama M, Saitoh Y, Yamamoto T, Katayama Y, Kakigi R",NeuroImage,0.52,18585060,-1,-1
si_00005,https://pubmed.ncbi.nlm.nih.gov/15792893/,Contralateral and ipsilateral responses in primary somatosensory cortex following electrical median nerve stimulation--an fMRI study.,"Nihashi T, Naganawa S, Sato C, Kawai H, Nakamura T, Fukatsu H, Ishigaki T, Aoki I",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.515,15792893,-1,-1
si_00006,https://pubmed.ncbi.nlm.nih.gov/20732744/,Bilateral activation of the trigeminothalamic tract by acute orofacial cutaneous  and muscle pain in humans.,"Nash PG, Macefield VG, Klineberg IJ, Gustin SM, Murray GM, Henderson LA",Pain,0.483,20732744,-1,-1
si_00007,https://pubmed.ncbi.nlm.nih.gov/11668653/,The semantic interference effect in the picture-word paradigm: an event-related fMRI study employing overt responses.,"de Zubicaray GI, Wilson SJ, McMahon KL, Muthiah S",Human brain mapping,0.474,11668653,-1,-1
si_00008,https://pubmed.ncbi.nlm.nih.gov/17178235/,A simultaneous EEG-fMRI study of painful electric stimulation.,"Christmann C, Koeppe C, Braus DF, Ruf M, Flor H",NeuroImage,0.469,17178235,-1,-1
si_00009,https://pubmed.ncbi.nlm.nih.gov/22912698/,Close to you: embodied simulation for peripersonal space in primary somatosensory cortex.,"Schaefer M, Heinze HJ, Rotte M",PloS one,0.459,22912698,-1,-1
si_00010,https://pubmed.ncbi.nlm.nih.gov/22849401/,The contribution of primary and secondary somatosensory cortices to the representation of body parts and body sides: an fMRI adaptation study.,"Tame L, Braun C, Lingnau A, Schwarzbach J, Demarchi G, Li Hegner Y, Farne A, Pavani F",Journal of cognitive neuroscience,0.428,22849401,-1,-1
si_00011,https://pubmed.ncbi.nlm.nih.gov/18537117/,My third arm: shifts in topography of the somatosensory homunculus predict feeling of an artificial supernumerary arm.,"Schaefer M, Heinze HJ, Rotte M",Human brain mapping,0.423,18537117,-1,-1
si_00012,https://pubmed.ncbi.nlm.nih.gov/12716951/,Reappraisal of the motor role of basal ganglia: a functional magnetic resonance image study.,"Taniwaki T, Okayama A, Yoshiura T, Nakamura Y, Goto Y, Kira J, Tobimatsu S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.413,12716951,-1,-1
si_00013,https://pubmed.ncbi.nlm.nih.gov/11018487/,Somatosensory cortex responses to median nerve stimulation: fMRI effects of current amplitude and selective attention.,"Backes WH, Mess WH, van Kranen-Mastenbroek V, Reulen JP",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.394,11018487,-1,-1
