paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
silent_00001,https://pubmed.ncbi.nlm.nih.gov/16080160/,Cognitive processing in Chinese literate and illiterate subjects: an fMRI study.,"Li G, Cheung RT, Gao JH, Lee TM, Tan LH, Fox PT, Jack CR Jr, Yang ES",Human brain mapping,0.531,16080160,-1,-1
silent_00002,https://pubmed.ncbi.nlm.nih.gov/15050725/,Activation of the primary and association auditory cortex by the transition of sound intensity: a new method for functional examination of the auditory cortex in humans.,"Okada T, Honda M, Okamoto J, Sadato N",Neuroscience letters,0.402,15050725,-1,-1
silent_00003,https://pubmed.ncbi.nlm.nih.gov/16226896/,Interleaved silent steady state (ISSS) imaging: a new sparse imaging method applied to auditory fMRI.,"Schwarzbauer C, Davis MH, Rodd JM, Johnsrude I",NeuroImage,0.399,16226896,-1,-1
silent_00004,https://pubmed.ncbi.nlm.nih.gov/15010232/,Neural correlates of lexical and sublexical processes in reading.,"Joubert S, Beauregard M, Walter N, Bourgouin P, Beaudoin G, Leroux JM, Karama S, Lecours AR",Brain and language,0.319,15010232,-1,-1
silent_00005,https://pubmed.ncbi.nlm.nih.gov/11231095/,Audio-visual speech perception in schizophrenia: an fMRI study.,"Surguladze SA, Calvert GA, Brammer MJ, Campbell R, Bullmore ET, Giampietro V, David AS",Psychiatry research,0.256,11231095,-1,-1
silent_00006,https://pubmed.ncbi.nlm.nih.gov/10669519/,Human cerebellum plays an important role in memory-timed finger movement: an fMRI study.,"Kawashima R, Okuda J, Umetsu A, Sugiura M, Inoue K, Suzuki K, Tabuchi M, Tsukiura T, Narayan SL, Nagasaka T, Yanagawa I, Fujii T, Takahashi S, Fukuda H, Yamadori A",Journal of neurophysiology,0.247,10669519,-1,-1
silent_00007,https://pubmed.ncbi.nlm.nih.gov/22484310/,Learning piano melodies in visuo-motor or audio-motor training conditions and the neural correlates of their cross-modal transfer.,"Engel A, Bangert M, Horbank D, Hijmans BS, Wilkens K, Keller PE, Keysers C",NeuroImage,0.235,22484310,-1,-1
silent_00008,https://pubmed.ncbi.nlm.nih.gov/23185300/,Somatosensory-motor adaptation of orofacial actions in posterior parietal and ventral premotor cortices.,"Grabski K, Lamalle L, Sato M",PloS one,0.228,23185300,-1,-1
silent_00009,https://pubmed.ncbi.nlm.nih.gov/23921095/,Structural white matter asymmetries in relation to functional asymmetries during  speech perception and production.,"Ocklenburg S, Hugdahl K, Westerhausen R",NeuroImage,0.217,23921095,-1,-1
silent_00010,https://pubmed.ncbi.nlm.nih.gov/17318832/,Silent and continuous fMRI scanning differentially modulate activation in an auditory language comprehension task.,"Schmidt CF, Zaehle T, Meyer M, Geiser E, Boesiger P, Jancke L",Human brain mapping,0.212,17318832,-1,-1
silent_00011,https://pubmed.ncbi.nlm.nih.gov/17089376/,Assessing the influence of scanner background noise on auditory processing. II. An fMRI study comparing auditory processing in the absence and presence of recorded scanner noise using a sparse design.,"Gaab N, Gabrieli JD, Glover GH",Human brain mapping,0.204,17089376,-1,-1
silent_00012,https://pubmed.ncbi.nlm.nih.gov/17644001/,"Comparison of ""silent"" clustered and sparse temporal fMRI acquisitions in tonal and speech perception tasks.","Zaehle T, Schmidt CF, Meyer M, Baumann S, Baltes C, Boesiger P, Jancke L",NeuroImage,0.192,17644001,-1,-1
silent_00013,https://pubmed.ncbi.nlm.nih.gov/10227106/,Attenuated frontal activation in schizophrenia may be task dependent.,"Curtis VA, Bullmore ET, Morris RG, Brammer MJ, Williams SC, Simmons A, Sharma T, Murray RM, McGuire PK",Schizophrenia research,0.186,10227106,-1,-1
silent_00014,https://pubmed.ncbi.nlm.nih.gov/21640191/,Activation of the dentate nucleus in a verb generation task: A 7T MRI study.,"Thurling M, Kuper M, Stefanescu R, Maderwald S, Gizewski ER, Ladd ME, Timmann D",NeuroImage,0.186,21640191,-1,-1
silent_00015,https://pubmed.ncbi.nlm.nih.gov/15862230/,Imaging speech production using fMRI.,"Gracco VL, Tremblay P, Pike B",NeuroImage,0.184,15862230,-1,-1
silent_00016,https://pubmed.ncbi.nlm.nih.gov/11587893/,Cortical substrates for the perception of face actions: an fMRI study of the specificity of activation for seen speech and for meaningless lower-face acts (gurning).,"Campbell R, MacSweeney M, Surguladze S, Calvert G, McGuire P, Suckling J, Brammer MJ, David AS",Brain research. Cognitive brain research,0.178,11587893,-1,-1
silent_00017,https://pubmed.ncbi.nlm.nih.gov/23450811/,Neural correlates of sensory preconditioning: a preliminary fMRI investigation.,"Yu T, Lang S, Birbaumer N, Kotchoubey B",Human brain mapping,0.169,23450811,-1,-1
silent_00018,https://pubmed.ncbi.nlm.nih.gov/26221571/,"Repetitive speech elicits widespread deactivation in the human cortex: the ""Mantra"" effect?","Berkovich-Ohana A, Wilf M, Kahana R, Arieli A, Malach R",Brain and behavior,0.164,26221571,-1,-1
silent_00019,https://pubmed.ncbi.nlm.nih.gov/16540348/,Learning functional structure from fMR images.,"Zheng X, Rajapakse JC",NeuroImage,0.157,16540348,10.1016/j.neuroimage.2006.01.031,-1
silent_00020,https://pubmed.ncbi.nlm.nih.gov/25222292/,Silent music reading: Auditory imagery and visuotonal modality transfer in singers and non-singers.,"Hoppe C, Splittstosser C, Fliessbach K, Trautner P, Elger CE, Weber B",Brain and cognition,0.149,25222292,10.1016/j.bandc.2014.08.002,-1
silent_00021,https://pubmed.ncbi.nlm.nih.gov/16084116/,The functional neuroanatomy of coordinated orofacial movements: sparse sampling fMRI of whistling.,"Dresel C, Castrop F, Haslinger B, Wohlschlaeger AM, Hennenlotter A, Ceballos-Baumann AO",NeuroImage,0.14,16084116,-1,-1
silent_00022,https://pubmed.ncbi.nlm.nih.gov/20814962/,Spectral loudness summation takes place in the primary auditory cortex.,"Rohl M, Kollmeier B, Uppenkamp S",Human brain mapping,0.138,20814962,-1,-1
silent_00023,https://pubmed.ncbi.nlm.nih.gov/15325357/,Comparison of baseline conditions to investigate syntactic production using functional magnetic resonance imaging.,"Peck KK, Wierenga CE, Moore AB, Maher LM, Gopinath K, Gaiefsky M, Briggs RW, Crosson B",NeuroImage,0.121,15325357,-1,-1
silent_00024,https://pubmed.ncbi.nlm.nih.gov/21168516/,"Patterns of brain reorganization subsequent to left fusiform damage: fMRI evidence from visual processing of words and pseudowords, faces and objects.","Tsapkini K, Vindiola M, Rapp B",NeuroImage,0.121,21168516,-1,-1
silent_00025,https://pubmed.ncbi.nlm.nih.gov/21255663/,Robustness of intrinsic connectivity networks in the human brain to the presence  of acoustic scanner noise.,"Langers DR, van Dijk P",NeuroImage,0.121,21255663,-1,-1
silent_00026,https://pubmed.ncbi.nlm.nih.gov/15238446/,FMRI evidence for activation of multiple cortical regions in the primary auditory cortex of deaf subjects users of multichannel cochlear implants.,"Seghier ML, Boex C, Lazeyras F, Sigrist A, Pelizzone M","Cerebral cortex (New York, N.Y. : 1991)",0.12,15238446,-1,-1
silent_00027,https://pubmed.ncbi.nlm.nih.gov/16399697/,Listening in silence activates auditory areas: a functional magnetic resonance imaging study.,"Voisin J, Bidet-Caulet A, Bertrand O, Fonlupt P",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.119,16399697,-1,-1
silent_00028,https://pubmed.ncbi.nlm.nih.gov/17603027/,A network for audio-motor coordination in skilled pianists and non-musicians.,"Baumann S, Koeneke S, Schmidt CF, Meyer M, Lutz K, Jancke L",Brain research,0.118,17603027,-1,-1
silent_00029,https://pubmed.ncbi.nlm.nih.gov/11590114/,Effects of domain-specific interference on brain activation associated with verbal working memory task performance.,Gruber O,"Cerebral cortex (New York, N.Y. : 1991)",0.117,11590114,-1,-1
silent_00030,https://pubmed.ncbi.nlm.nih.gov/19492302/,Neural correlates of pre-attentive processing of pattern deviance in professional musicians.,"Habermeyer B, Herdener M, Esposito F, Hilti CC, Klarhofer M, di Salle F, Wetzel S, Scheffler K, Cattapan-Ludewig K, Seifritz E",Human brain mapping,0.115,19492302,-1,-1
silent_00031,https://pubmed.ncbi.nlm.nih.gov/12063136/,A comparison of bound and unbound audio-visual information processing in the human cerebral cortex.,"Olson IR, Gatenby JC, Gore JC",Brain research. Cognitive brain research,0.113,12063136,-1,-1
silent_00032,https://pubmed.ncbi.nlm.nih.gov/25086210/,Parahippocampal cortex is involved in material processing via echoes in blind echolocation experts.,"Milne JL, Arnott SR, Kish D, Goodale MA, Thaler L",Vision research,0.113,25086210,-1,-1
