paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
skin_00001,https://pubmed.ncbi.nlm.nih.gov/26173182/,Neural correlates of self-injurious behavior in Prader-Willi syndrome.,"Klabunde M, Saggar M, Hustyi KM, Hammond JL, Reiss AL, Hall SS",Human brain mapping,0.625,26173182,-1,-1
skin_00002,https://pubmed.ncbi.nlm.nih.gov/29305750/,Visual symptom provocation in skin picking disorder: an fMRI study.,"Schienle A, Ubel S, Wabnegger A",Brain imaging and behavior,0.557,29305750,-1,-1
skin_00003,https://pubmed.ncbi.nlm.nih.gov/18574581/,Cortical processing of lateral skin stretch stimulation in humans.,"Backlund Wasling H, Lundblad L, Loken L, Wessberg J, Wiklund K, Norrsell U, Olausson H",Experimental brain research,0.486,18574581,-1,-1
skin_00004,https://pubmed.ncbi.nlm.nih.gov/26260311/,Sensations of skin infestation linked to abnormal frontolimbic brain reactivity and differences in self-representation.,"Eccles JA, Garfinkel SN, Harrison NA, Ward J, Taylor RE, Bewley AP, Critchley HD",Neuropsychologia,0.474,26260311,-1,-1
skin_00005,https://pubmed.ncbi.nlm.nih.gov/29241822/,Neural correlates of gentle skin stroking in early infancy.,"Tuulari JJ, Scheinin NM, Lehtola S, Merisaari H, Saunavaara J, Parkkola R, Sehlstedt I, Karlsson L, Karlsson H, Bjornsdotter M",Developmental cognitive neuroscience,0.448,29241822,-1,-1
skin_00006,https://pubmed.ncbi.nlm.nih.gov/17407825/,Capsaicin-induced thermal hyperalgesia and sensitization in the human trigeminal  nociceptive pathway: an fMRI study.,"Moulton EA, Pendse G, Morris S, Strassman A, Aiello-Lammens M, Becerra L, Borsook D",NeuroImage,0.425,17407825,-1,-1
skin_00007,https://pubmed.ncbi.nlm.nih.gov/22594914/,Touching and feeling: differences in pleasant touch processing between glabrous and hairy skin in humans.,"McGlone F, Olausson H, Boyle JA, Jones-Gotman M, Dancer C, Guest S, Essick G",The European journal of neuroscience,0.423,22594914,-1,-1
skin_00008,https://pubmed.ncbi.nlm.nih.gov/21514332/,Painful muscle stimulation preferentially activates emotion-related brain regions compared to painful skin stimulation.,"Takahashi K, Taguchi T, Tanaka S, Sadato N, Qiu Y, Kakigi R, Mizumura K",Neuroscience research,0.408,21514332,-1,-1
skin_00009,https://pubmed.ncbi.nlm.nih.gov/22580171/,Real-time imaging of cortical areas involved in the generation of increases in skin sympathetic nerve activity when viewing emotionally charged images.,"Henderson LA, Stathis A, James C, Brown R, McDonald S, Macefield VG",NeuroImage,0.392,22580171,-1,-1
skin_00010,https://pubmed.ncbi.nlm.nih.gov/21741443/,Cortical processing of tactile direction discrimination based on spatiotemporal cues in man.,"Lundblad LC, Olausson HW, Hermansson AK, Wasling HB",Neuroscience letters,0.376,21741443,-1,-1
skin_00011,https://pubmed.ncbi.nlm.nih.gov/15110014/,"Activity in ventromedial prefrontal cortex covaries with sympathetic skin conductance level: a physiological account of a ""default mode"" of brain function.","Nagai Y, Critchley HD, Featherstone E, Trimble MR, Dolan RJ",NeuroImage,0.369,15110014,-1,-1
skin_00012,https://pubmed.ncbi.nlm.nih.gov/25698948/,Seeking pleasant touch: neural correlates of behavioral preferences for skin stroking.,"Perini I, Olausson H, Morrison I",Frontiers in behavioral neuroscience,0.366,25698948,-1,-1
skin_00013,https://pubmed.ncbi.nlm.nih.gov/18614290/,Central representation of cold-evoked pain relief in capsaicin induced pain: an event-related fMRI study.,"Mohr C, Leyendecker S, Mangels I, Machner B, Sander T, Helmchen C",Pain,0.349,18614290,-1,-1
skin_00014,https://pubmed.ncbi.nlm.nih.gov/23620600/,Ventromedial prefrontal cortex and the regulation of physiological arousal.,"Zhang S, Hu S, Chao HH, Ide JS, Luo X, Farr OM, Li CS",Social cognitive and affective neuroscience,0.347,23620600,-1,-1
skin_00015,https://pubmed.ncbi.nlm.nih.gov/27679564/,Posterior Superior Temporal Sulcus Responses Predict Perceived Pleasantness of Skin Stroking.,"Davidovic M, Jonsson EH, Olausson H, Bjornsdotter M",Frontiers in human neuroscience,0.347,27679564,-1,-1
