paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
smokers_00001,https://pubmed.ncbi.nlm.nih.gov/16612617/,Persistent dysfunctional frontal lobe activation in former smokers.,"Neuhaus A, Bajbouj M, Kienast T, Kalus P, von Haebler D, Winterer G, Gallinat J",Psychopharmacology,0.802,16612617,-1,-1
smokers_00002,https://pubmed.ncbi.nlm.nih.gov/25051341/,The neural mechanisms underlying the acute effect of cigarette smoking on chronic smokers.,"Wang K, Yang J, Zhang S, Wei D, Hao X, Tu S, Qiu J",PloS one,0.759,25051341,-1,-1
smokers_00003,https://pubmed.ncbi.nlm.nih.gov/27005897/,Increased ventro-medial prefrontal activations in schizophrenia smokers during cigarette cravings.,"Potvin S, Lungu O, Lipp O, Lalonde P, Zaharieva V, Stip E, Melun JP, Mendrek A",Schizophrenia research,0.721,27005897,-1,-1
smokers_00004,https://pubmed.ncbi.nlm.nih.gov/25887154/,FDA cigarette warning labels lower craving and elicit frontoinsular activation in adolescent smokers.,"Do KT, Galvan A",Social cognitive and affective neuroscience,0.708,25887154,-1,-1
smokers_00005,https://pubmed.ncbi.nlm.nih.gov/25716308/,Altered spontaneous brain activity in heavy smokers revealed by regional homogeneity.,"Wu G, Yang S, Zhu L, Lin F",Psychopharmacology,0.699,25716308,-1,-1
smokers_00006,https://pubmed.ncbi.nlm.nih.gov/22306089/,Age of onset of marijuana use impacts inhibitory processing.,"Gruber SA, Dahlgren MK, Sagar KA, Gonenc A, Killgore WD",Neuroscience letters,0.683,22306089,-1,-1
smokers_00007,https://pubmed.ncbi.nlm.nih.gov/28536051/,Altered thalamo-cortical resting state functional connectivity in smokers.,"Wang C, Bai J, Wang C, von Deneen KM, Yuan K, Cheng J",Neuroscience letters,0.683,28536051,-1,-1
smokers_00008,https://pubmed.ncbi.nlm.nih.gov/28081226/,Regional Homogeneity Changes in Nicotine Addicts by Resting-State fMRI.,"Chen H, Mo S",PloS one,0.661,28081226,-1,-1
smokers_00009,https://pubmed.ncbi.nlm.nih.gov/19656642/,Altered affective response in marijuana smokers: an FMRI study.,"Gruber SA, Rogowska J, Yurgelun-Todd DA",Drug and alcohol dependence,0.642,19656642,-1,-1
smokers_00010,https://pubmed.ncbi.nlm.nih.gov/28912702/,Altered White Matter Integrity in Smokers Is Associated with Smoking Cessation Outcomes.,"Huang P, Shen Z, Wang C, Qian W, Zhang H, Yang Y, Zhang M",Frontiers in human neuroscience,0.635,28912702,-1,-1
smokers_00011,https://pubmed.ncbi.nlm.nih.gov/20699124/,Factors underlying prefrontal and insula structural alterations in smokers.,"Zhang X, Salmeron BJ, Ross TJ, Geng X, Yang Y, Stein EA",NeuroImage,0.631,20699124,-1,-1
smokers_00012,https://pubmed.ncbi.nlm.nih.gov/27867102/,Neural correlates of response inhibition in current and former smokers.,"Weywadt CR, Kiehl KA, Claus ED",Behavioural brain research,0.594,27867102,-1,-1
smokers_00013,https://pubmed.ncbi.nlm.nih.gov/20862456/,"Chronic smoking, but not acute nicotine administration, modulates neural correlates of working memory.","Sutherland MT, Ross TJ, Shakleya DM, Huestis MA, Stein EA",Psychopharmacology,0.591,20862456,-1,-1
smokers_00014,https://pubmed.ncbi.nlm.nih.gov/21440645/,"Differences in ""bottom-up"" and ""top-down"" neural activity in current and former cigarette smokers: Evidence for neural substrates which may promote nicotine abstinence through increased cognitive cont","Nestor L, McCabe E, Jones J, Clancy L, Garavan H",NeuroImage,0.591,21440645,-1,-1
smokers_00015,https://pubmed.ncbi.nlm.nih.gov/25365800/,Winning and losing: differences in reward and punishment sensitivity between smokers and nonsmokers.,"Martin LE, Cox LS, Brooks WM, Savage CR",Brain and behavior,0.587,25365800,-1,-1
smokers_00016,https://pubmed.ncbi.nlm.nih.gov/24777394/,Weak ventral striatal responses to monetary outcomes predict an unwillingness to  resist cigarette smoking.,"Wilson SJ, Delgado MR, McKee SA, Grigson PS, MacLean RR, Nichols TT, Henry SL","Cognitive, affective & behavioral neuroscience",0.583,24777394,-1,-1
smokers_00017,https://pubmed.ncbi.nlm.nih.gov/18499348/,Nicotine abstinence-induced cerebral blood flow changes by genotype.,"Wang Z, Ray R, Faith M, Tang K, Wileyto EP, Detre JA, Lerman C",Neuroscience letters,0.557,18499348,-1,-1
smokers_00018,https://pubmed.ncbi.nlm.nih.gov/24914005/,Abstinent adult daily smokers show reduced anticipatory but elevated saccade-related brain responses during a rewarded antisaccade task.,"Geier CF, Sweitzer MM, Denlinger R, Sparacino G, Donny EC",Psychiatry research,0.554,24914005,-1,-1
smokers_00019,https://pubmed.ncbi.nlm.nih.gov/14706428/,Differences between smokers and nonsmokers in regional gray matter volumes and densities.,"Brody AL, Mandelkern MA, Jarvik ME, Lee GS, Smith EC, Huang JC, Bota RG, Bartzokis G, London ED",Biological psychiatry,0.527,14706428,-1,-1
smokers_00020,https://pubmed.ncbi.nlm.nih.gov/15561477/,Neurophysiology of motor function following cannabis discontinuation in chronic cannabis smokers: an fMRI study.,"Pillay SS, Rogowska J, Kanayama G, Jon DI, Gruber S, Simpson N, Cherayil M, Pope HG, Yurgelun-Todd DA",Drug and alcohol dependence,0.526,15561477,-1,-1
smokers_00021,https://pubmed.ncbi.nlm.nih.gov/12408855/,Cognitive mechanisms of nicotine on visual attention.,"Lawrence NS, Ross TJ, Stein EA",Neuron,0.525,12408855,-1,-1
smokers_00022,https://pubmed.ncbi.nlm.nih.gov/23155368/,Neural responses to smoking stimuli are influenced by smokers' attitudes towards  their own smoking behaviour.,"Stippekohl B, Winkler MH, Walter B, Kagerer S, Mucha RF, Pauli P, Vaitl D, Stark R",PloS one,0.507,23155368,-1,-1
smokers_00023,https://pubmed.ncbi.nlm.nih.gov/15795138/,Neuroimaging of marijuana smokers during inhibitory processing: a pilot investigation.,"Gruber SA, Yurgelun-Todd DA",Brain research. Cognitive brain research,0.506,15795138,-1,-1
smokers_00024,https://pubmed.ncbi.nlm.nih.gov/26843002/,Altered resting state functional connectivity of anterior insula in young smokers.,"Bi Y, Yuan K, Guan Y, Cheng J, Zhang Y, Li Y, Yu D, Qin W, Tian J",Brain imaging and behavior,0.496,26843002,-1,-1
smokers_00025,https://pubmed.ncbi.nlm.nih.gov/28702352/,Automatized smoking-related action schemata are reflected by reduced fMRI activity in sensorimotor brain regions of smokers.,"Isik AI, Naumer MJ, Kaiser J, Buschenlange C, Wiesmann S, Czoschke S, Yalachkov Y",NeuroImage. Clinical,0.493,28702352,-1,-1
smokers_00026,https://pubmed.ncbi.nlm.nih.gov/21248113/,Spontaneous action representation in smokers when watching movie characters smoke.,"Wagner DD, Dal Cin S, Sargent JD, Kelley WM, Heatherton TF",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.474,21248113,-1,-1
smokers_00027,https://pubmed.ncbi.nlm.nih.gov/26975550/,The first day is always the hardest: Functional connectivity during cue exposure  and the ability to resist smoking in the initial hours of a quit attempt.,"Zelle SL, Gates KM, Fiez JA, Sayette MA, Wilson SJ",NeuroImage,0.471,26975550,-1,-1
smokers_00028,https://pubmed.ncbi.nlm.nih.gov/22076160/,Regional grey and white matter changes in heavy male smokers.,"Yu R, Zhao L, Lu L",PloS one,0.445,22076160,-1,-1
