paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
spatial information_00001,https://pubmed.ncbi.nlm.nih.gov/17949905/,"Time, space and emotion: fMRI reveals content-specific activation during text comprehension.","Ferstl EC, von Cramon DY",Neuroscience letters,0.284,17949905,-1,-1
spatial information_00002,https://pubmed.ncbi.nlm.nih.gov/11923436/,Neural correlates of encoding space from route and survey perspectives.,"Shelton AL, Gabrieli JD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.232,11923436,-1,-1
spatial information_00003,https://pubmed.ncbi.nlm.nih.gov/17239618/,Load response functions in the human spatial working memory circuit during location memory updating.,"Leung HC, Oh H, Ferri J, Yi Y",NeuroImage,0.221,17239618,-1,-1
spatial information_00004,https://pubmed.ncbi.nlm.nih.gov/15579169/,Is there a role of visual cortex in spatial hearing?,"Zimmer U, Lewald J, Erb M, Grodd W, Karnath HO",The European journal of neuroscience,0.212,15579169,-1,-1
spatial information_00005,https://pubmed.ncbi.nlm.nih.gov/15808999/,Dissociable brain activations during the retrieval of different kinds of spatial  context memory.,"Suzuki M, Tsukiura T, Matsue Y, Yamadori A, Fujii T",NeuroImage,0.209,15808999,-1,-1
spatial information_00006,https://pubmed.ncbi.nlm.nih.gov/10666552/,Replication and further studies of neural mechanisms of spatial mnemonic processing in humans.,"Zarahn E, Aguirre G, D'Esposito M",Brain research. Cognitive brain research,0.203,10666552,-1,-1
spatial information_00007,https://pubmed.ncbi.nlm.nih.gov/22563375/,Prefrontal cortex lesions impair object-spatial integration.,"Voytek B, Soltani M, Pickard N, Kishiyama MM, Knight RT",PloS one,0.198,22563375,-1,-1
spatial information_00008,https://pubmed.ncbi.nlm.nih.gov/23180753/,Auditory spatial attention representations in the human cerebral cortex.,"Kong L, Michalka SW, Rosen ML, Sheremata SL, Swisher JD, Shinn-Cunningham BG, Somers DC","Cerebral cortex (New York, N.Y. : 1991)",0.197,23180753,-1,-1
spatial information_00009,https://pubmed.ncbi.nlm.nih.gov/22877840/,Functional anatomy of temporal organisation and domain-specificity of episodic memory retrieval.,"Kwok SC, Shallice T, Macaluso E",Neuropsychologia,0.19,22877840,-1,-1
spatial information_00010,https://pubmed.ncbi.nlm.nih.gov/22178858/,The neural basis of impossible figures: evidence from an fMRI study of the two-pronged trident.,"Wu X, Li W, Zhang M, Qiu J",Neuroscience letters,0.171,22178858,-1,-1
spatial information_00011,https://pubmed.ncbi.nlm.nih.gov/23249348/,The biology of linguistic expression impacts neural correlates for spatial language.,"Emmorey K, McCullough S, Mehta S, Ponto LL, Grabowski TJ",Journal of cognitive neuroscience,0.171,23249348,-1,-1
