paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
spatially_00001,https://pubmed.ncbi.nlm.nih.gov/18804123/,Top-down attentional control in spatially coincident stimuli enhances activity in both task-relevant and task-irrelevant regions of cortex.,"Erickson KI, Prakash RS, Kim JS, Sutton BP, Colcombe SJ, Kramer AF",Behavioural brain research,0.306,18804123,-1,-1
spatially_00002,https://pubmed.ncbi.nlm.nih.gov/15166105/,Control of object-based attention in human cortex.,"Serences JT, Schwarzbach J, Courtney SM, Golay X, Yantis S","Cerebral cortex (New York, N.Y. : 1991)",0.305,15166105,-1,-1
spatially_00003,https://pubmed.ncbi.nlm.nih.gov/25338521/,Statistical mapping of metabolites in the medial wall of the brain: A proton echo planar spectroscopic imaging study.,"Niddam DM, Tsai SY, Lin YR",Human brain mapping,0.285,25338521,-1,-1
spatially_00004,https://pubmed.ncbi.nlm.nih.gov/18095282/,Improved application of independent component analysis to functional magnetic resonance imaging study via linear projection techniques.,"Long Z, Chen K, Wu X, Reiman E, Peng D, Yao L",Human brain mapping,0.266,18095282,-1,-1
spatially_00005,https://pubmed.ncbi.nlm.nih.gov/20810889/,Establishing the boundaries: the hippocampal contribution to imagining scenes.,"Bird CM, Capponi C, King JA, Doeller CF, Burgess N",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.247,20810889,-1,-1
spatially_00006,https://pubmed.ncbi.nlm.nih.gov/20356959/,How the brain handles temporally uncoupled bimanual movements.,"Meister IG, Foltys H, Gallea C, Hallett M","Cerebral cortex (New York, N.Y. : 1991)",0.242,20356959,-1,-1
spatially_00007,https://pubmed.ncbi.nlm.nih.gov/19878728/,The costs of monitoring simultaneously two sensory modalities decrease when dividing attention in space.,"Santangelo V, Fagioli S, Macaluso E",NeuroImage,0.24,19878728,10.1016/j.neuroimage.2009.10.061,-1
spatially_00008,https://pubmed.ncbi.nlm.nih.gov/21167584/,Distributed processing and cortical specialization for speech and environmental sounds in human temporal cortex.,"Leech R, Saygin AP",Brain and language,0.235,21167584,10.1016/j.bandl.2010.11.001,-1
spatially_00009,https://pubmed.ncbi.nlm.nih.gov/23523812/,No somatotopy of sensorimotor alpha-oscillation responses to differential finger  stimulation.,"Nierula B, Hohlefeld FU, Curio G, Nikulin VV",NeuroImage,0.226,23523812,10.1016/j.neuroimage.2013.03.025,-1
spatially_00010,https://pubmed.ncbi.nlm.nih.gov/16243051/,A functional MRI study of preparatory signals for spatial location and objects.,"Corbetta M, Tansy AP, Stanley CM, Astafiev SV, Snyder AZ, Shulman GL",Neuropsychologia,0.207,16243051,10.1016/j.neuropsychologia.2005.03.020,-1
