paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
spatiotemporal_00001,https://pubmed.ncbi.nlm.nih.gov/21741443/,Cortical processing of tactile direction discrimination based on spatiotemporal cues in man.,"Lundblad LC, Olausson HW, Hermansson AK, Wasling HB",Neuroscience letters,0.404,21741443,-1,-1
spatiotemporal_00002,https://pubmed.ncbi.nlm.nih.gov/15050567/,Cerebellar and premotor function in bimanual coordination: parametric neural responses to spatiotemporal complexity and cycling frequency.,"Debaere F, Wenderoth N, Sunaert S, Van Hecke P, Swinnen SP",NeuroImage,0.294,15050567,-1,-1
spatiotemporal_00003,https://pubmed.ncbi.nlm.nih.gov/24632091/,Deconvolution of neural dynamics from fMRI data using a spatiotemporal hemodynamic response function.,"Aquino KM, Robinson PA, Schira MM, Breakspear M",NeuroImage,0.287,24632091,-1,-1
spatiotemporal_00004,https://pubmed.ncbi.nlm.nih.gov/27647281/,The Importance of Spatiotemporal Information in Biological Motion Perception: White Noise Presented with a Step-like Motion Activates the Biological Motion Area.,"Callan A, Callan D, Ando H",Journal of cognitive neuroscience,0.26,27647281,-1,-1
spatiotemporal_00005,https://pubmed.ncbi.nlm.nih.gov/27751942/,Effects of astrocytic dynamics on spatiotemporal hemodynamics: Modeling and enhanced data analysis.,"Pang JC, Robinson PA, Aquino KM, Vasan N",NeuroImage,0.25,27751942,-1,-1
spatiotemporal_00006,https://pubmed.ncbi.nlm.nih.gov/23395850/,Spatiotemporal Dependency of Age-Related Changes in Brain Signal Variability.,"McIntosh AR, Vakorin V, Kovacevic N, Wang H, Diaconescu A, Protzner AB","Cerebral cortex (New York, N.Y. : 1991)",0.247,23395850,-1,-1
spatiotemporal_00007,https://pubmed.ncbi.nlm.nih.gov/22485152/,EEG-fMRI based information theoretic characterization of the human perceptual decision system.,"Ostwald D, Porcaro C, Mayhew SD, Bagshaw AP",PloS one,0.227,22485152,10.1371/journal.pone.0033896,-1
spatiotemporal_00008,https://pubmed.ncbi.nlm.nih.gov/28958864/,Brain encoding of saltatory velocity through a pulsed pneumotactile array in the  lower face.,"Custead R, Oh H, Wang Y, Barlow S",Brain research,0.205,28958864,10.1016/j.brainres.2017.09.025,-1
spatiotemporal_00009,https://pubmed.ncbi.nlm.nih.gov/14597300/,Left inferior parietal cortex integrates time and space during collision judgments.,"Assmus A, Marshall JC, Ritzl A, Noth J, Zilles K, Fink GR",NeuroImage,0.2,14597300,10.1016/j.neuroimage.2003.09.025,-1
spatiotemporal_00010,https://pubmed.ncbi.nlm.nih.gov/23116813/,Spatiotemporal multi-resolution approximation of the Amari type neural field model.,"Aram P, Freestone DR, Dewar M, Scerri K, Jirsa V, Grayden DB, Kadirkamanathan V",NeuroImage,0.182,23116813,10.1016/j.neuroimage.2012.10.039,-1
