paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
storage_00001,https://pubmed.ncbi.nlm.nih.gov/22634860/,Linking ordering in Broca's area to storage in left temporo-parietal regions: the case of sentence processing.,"Meyer L, Obleser J, Anwander A, Friederici AD",NeuroImage,0.68,22634860,-1,-1
storage_00002,https://pubmed.ncbi.nlm.nih.gov/27147950/,Working Memory Network Changes in ALS: An fMRI Study.,"Vellage AK, Veit M, Kobeleva X, Petri S, Vielhaber S, Muller NG",Frontiers in neuroscience,0.641,27147950,-1,-1
storage_00003,https://pubmed.ncbi.nlm.nih.gov/24047380/,Trade-off between capacity and precision in visuospatial working memory.,"Roggeman C, Klingberg T, Feenstra HE, Compte A, Almeida R",Journal of cognitive neuroscience,0.406,24047380,-1,-1
storage_00004,https://pubmed.ncbi.nlm.nih.gov/26257053/,Parietal and Frontal Cortex Encode Stimulus-Specific Mnemonic Representations during Visual Working Memory.,"Ester EF, Sprague TC, Serences JT",Neuron,0.384,26257053,-1,-1
storage_00005,https://pubmed.ncbi.nlm.nih.gov/24695720/,Cerebellar-parietal connections underpin phonological storage.,"Macher K, Bohringer A, Villringer A, Pleger B",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.351,24695720,-1,-1
storage_00006,https://pubmed.ncbi.nlm.nih.gov/21168512/,Left TPJ activity in verbal working memory: implications for storage- and sensory-specific models of short term memory.,"Ravizza SM, Hazeltine E, Ruiz S, Zhu DC",NeuroImage,0.315,21168512,-1,-1
storage_00007,https://pubmed.ncbi.nlm.nih.gov/11113035/,Separate neural correlates for the mnemonic components of successive discrimination and working memory tasks.,"Cornette L, Dupont P, Bormans G, Mortelmans L, Orban GA","Cerebral cortex (New York, N.Y. : 1991)",0.31,11113035,-1,-1
storage_00008,https://pubmed.ncbi.nlm.nih.gov/23287569/,Levels of processing and language modality specificity in working memory.,"Rudner M, Karlsson T, Gunnarsson J, Ronnberg J",Neuropsychologia,0.302,23287569,-1,-1
storage_00009,https://pubmed.ncbi.nlm.nih.gov/10683393/,"Recoding, storage, rehearsal and grouping in verbal short-term memory: an fMRI study.","Henson RN, Burgess N, Frith CD",Neuropsychologia,0.301,10683393,-1,-1
storage_00010,https://pubmed.ncbi.nlm.nih.gov/25989444/,Neural mechanisms of the spacing effect in episodic memory: A parallel EEG and fMRI study.,"Zhao X, Wang C, Liu Q, Xiao X, Jiang T, Chen C, Xue G",Cortex; a journal devoted to the study of the nervous system and behavior,0.291,25989444,-1,-1
storage_00011,https://pubmed.ncbi.nlm.nih.gov/21889195/,From storage to manipulation: How the neural correlates of verbal working memory  reflect varying demands on inner speech.,"Marvel CL, Desmond JE",Brain and language,0.268,21889195,-1,-1
storage_00012,https://pubmed.ncbi.nlm.nih.gov/25498391/,Visual attention in preterm born adults: Specifically impaired attentional sub-mechanisms that link with altered intrinsic brain networks in a compensation-like mode.,"Finke K, Neitzel J, Bauml JG, Redel P, Muller HJ, Meng C, Jaekel J, Daamen M, Scheef L, Busch B, Baumann N, Boecker H, Bartmann P, Habekost T, Wolke D, Wohlschlager A, Sorg C",NeuroImage,0.259,25498391,10.1016/j.neuroimage.2014.11.062,-1
storage_00013,https://pubmed.ncbi.nlm.nih.gov/26436710/,Ventral fronto-parietal contributions to the disruption of visual working memory  storage.,"Hakun JG, Ravizza SM",NeuroImage,0.223,26436710,10.1016/j.neuroimage.2015.09.056,-1
storage_00014,https://pubmed.ncbi.nlm.nih.gov/14741652/,Discrimination of temporal information at the cerebellum: functional magnetic resonance imaging of nonverbal auditory memory.,"Mathiak K, Hertrich I, Grodd W, Ackermann H",NeuroImage,0.222,14741652,10.1016/j.neuroimage.2003.09.036,-1
storage_00015,https://pubmed.ncbi.nlm.nih.gov/12244209/,Neural basis of protracted developmental changes in visuo-spatial working memory.,"Kwon H, Reiss AL, Menon V",Proceedings of the National Academy of Sciences of the United States of America,0.215,12244209,10.1073/pnas.162486399,-1
storage_00016,https://pubmed.ncbi.nlm.nih.gov/24436009/,Evidence for working memory storage operations in perceptual cortex.,"Sreenivasan KK, Gratton C, Vytlacil J, D'Esposito M","Cognitive, affective & behavioral neuroscience",0.215,24436009,-1,-1
storage_00017,https://pubmed.ncbi.nlm.nih.gov/18387584/,Delay-related cerebral activity and motor preparation.,"Mars RB, Coles MG, Hulstijn W, Toni I",Cortex; a journal devoted to the study of the nervous system and behavior,0.212,18387584,-1,-1
storage_00018,https://pubmed.ncbi.nlm.nih.gov/15563726/,Specific cerebral networks for maintenance and response organization within working memory as evidenced by the 'double delay/double response' paradigm.,"Volle E, Pochon JB, Lehericy S, Pillon B, Dubois B, Levy R","Cerebral cortex (New York, N.Y. : 1991)",0.203,15563726,-1,-1
