paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
streams_00001,https://pubmed.ncbi.nlm.nih.gov/15808973/,What vs. where in touch: an fMRI study.,"Reed CL, Klatzky RL, Halgren E",NeuroImage,0.421,15808973,-1,-1
streams_00002,https://pubmed.ncbi.nlm.nih.gov/16855090/,Cracking the language code: neural mechanisms underlying speech parsing.,"McNealy K, Mazziotta JC, Dapretto M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.347,16855090,-1,-1
streams_00003,https://pubmed.ncbi.nlm.nih.gov/29247666/,Getting a handle on virtual tools: An examination of the neuronal activity associated with virtual tool use.,"Rallis A, Fercho KA, Bosch TJ, Baugh LA",Neuropsychologia,0.326,29247666,-1,-1
streams_00004,https://pubmed.ncbi.nlm.nih.gov/22508766/,Visual and audiovisual effects of isochronous timing on visual perception and brain activity.,"Marchant JL, Driver J","Cerebral cortex (New York, N.Y. : 1991)",0.324,22508766,-1,-1
streams_00005,https://pubmed.ncbi.nlm.nih.gov/19413481/,Observing learned object-specific functional grasps preferentially activates the  ventral stream.,"Valyear KF, Culham JC",Journal of cognitive neuroscience,0.319,19413481,-1,-1
streams_00006,https://pubmed.ncbi.nlm.nih.gov/23312790/,The neural correlates of statistical learning in a word segmentation task: An fMRI study.,"Karuza EA, Newport EL, Aslin RN, Starling SJ, Tivarus ME, Bavelier D",Brain and language,0.287,23312790,-1,-1
streams_00007,https://pubmed.ncbi.nlm.nih.gov/24526569/,Data-driven analysis of functional brain interactions during free listening to music and speech.,"Fang J, Hu X, Han J, Jiang X, Zhu D, Guo L, Liu T",Brain imaging and behavior,0.281,24526569,-1,-1
streams_00008,https://pubmed.ncbi.nlm.nih.gov/14607172/,Neural correlates of dual task interference in rapid visual streams: an fMRI study.,"Marcantoni WS, Lepage M, Beaudoin G, Bourgouin P, Richer F",Brain and cognition,0.28,14607172,-1,-1
streams_00009,https://pubmed.ncbi.nlm.nih.gov/17942738/,Audiovisual temporal correspondence modulates human multisensory superior temporal sulcus plus primary sensory cortices.,"Noesselt T, Rieger JW, Schoenfeld MA, Kanowski M, Hinrichs H, Heinze HJ, Driver J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.273,17942738,-1,-1
streams_00010,https://pubmed.ncbi.nlm.nih.gov/16055068/,Dissociation between ventral and dorsal fMRI activation during object and action  recognition.,"Shmuelof L, Zohary E",Neuron,0.251,16055068,-1,-1
streams_00011,https://pubmed.ncbi.nlm.nih.gov/23696279/,Category Specific Spatial Dissociations of Parallel Processes Underlying Visual Naming.,"Conner CR, Chen G, Pieters TA, Tandon N","Cerebral cortex (New York, N.Y. : 1991)",0.25,23696279,-1,-1
