paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
striatum_00001,https://pubmed.ncbi.nlm.nih.gov/22832566/,The organization of the human striatum estimated by intrinsic functional connectivity.,"Choi EY, Yeo BT, Buckner RL",Journal of neurophysiology,0.55,22832566,-1,-1
striatum_00002,https://pubmed.ncbi.nlm.nih.gov/20666593/,Cooperation between the hippocampus and the striatum during episodic encoding.,"Sadeh T, Shohamy D, Levy DR, Reggev N, Maril A",Journal of cognitive neuroscience,0.502,20666593,-1,-1
striatum_00003,https://pubmed.ncbi.nlm.nih.gov/25594281/,Structural covariance networks of striatum subdivision in patients with Parkinson's disease.,"Chou KH, Lin WC, Lee PL, Tsai NW, Huang YC, Chen HL, Cheng KY, Chen PC, Wang HC, Lin TK, Li SH, Lin WM, Lu CH, Lin CP",Human brain mapping,0.441,25594281,-1,-1
striatum_00004,https://pubmed.ncbi.nlm.nih.gov/26260079/,Breakdown of the striatal-default mode network loop in schizophrenia.,"Wang X, Li F, Zheng H, Wang W, Zhang W, Liu Z, Sun Y, Chan RC, Chen A",Schizophrenia research,0.439,26260079,-1,-1
striatum_00005,https://pubmed.ncbi.nlm.nih.gov/20688877/,Striatal and medial temporal lobe functional interactions during visuomotor associative learning.,"Mattfeld AT, Stark CE","Cerebral cortex (New York, N.Y. : 1991)",0.431,20688877,-1,-1
striatum_00006,https://pubmed.ncbi.nlm.nih.gov/21596772/,The effect of dopamine therapy on ventral and dorsal striatum-mediated cognition  in Parkinson's disease: support from functional MRI.,"MacDonald PA, MacDonald AA, Seergobin KN, Tamjeedi R, Ganjavi H, Provost JS, Monchi O",Brain : a journal of neurology,0.415,21596772,-1,-1
striatum_00007,https://pubmed.ncbi.nlm.nih.gov/20303408/,Dissociable responses to punishment in distinct striatal regions during reversal  learning.,"Robinson OJ, Frank MJ, Sahakian BJ, Cools R",NeuroImage,0.388,20303408,-1,-1
striatum_00008,https://pubmed.ncbi.nlm.nih.gov/22952277/,The opponent matters: elevated FMRI reward responses to winning against a human versus a computer opponent during interactive video game playing.,"Katsyri J, Hari R, Ravaja N, Nummenmaa L","Cerebral cortex (New York, N.Y. : 1991)",0.367,22952277,-1,-1
striatum_00009,https://pubmed.ncbi.nlm.nih.gov/26809248/,Ventral and Dorsal Striatum Networks in Obesity: Link to Food Craving and Weight  Gain.,"Contreras-Rodriguez O, Martin-Perez C, Vilar-Lopez R, Verdejo-Garcia A",Biological psychiatry,0.365,26809248,-1,-1
striatum_00010,https://pubmed.ncbi.nlm.nih.gov/26803060/,Ventral striatum activity when watching preferred pornographic pictures is correlated with symptoms of Internet pornography addiction.,"Brand M, Snagowski J, Laier C, Maderwald S",NeuroImage,0.36,26803060,-1,-1
striatum_00011,https://pubmed.ncbi.nlm.nih.gov/15852388/,Function of striatum beyond inhibition and execution of motor responses.,"Vink M, Kahn RS, Raemaekers M, van den Heuvel M, Boersma M, Ramsey NF",Human brain mapping,0.356,15852388,-1,-1
