paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
supramarginal gyrus_00001,https://pubmed.ncbi.nlm.nih.gov/21195191/,fMRI investigation of unexpected somatosensory feedback perturbation during speech.,"Golfinopoulos E, Tourville JA, Bohland JW, Ghosh SS, Nieto-Castanon A, Guenther FH",NeuroImage,0.311,21195191,10.1016/j.neuroimage.2010.12.065,-1
supramarginal gyrus_00002,https://pubmed.ncbi.nlm.nih.gov/22438215/,Differential roles of inferior frontal and inferior parietal cortex in task switching: evidence from stimulus-categorization switching and response-modality  switching.,"Philipp AM, Weidner R, Koch I, Fink GR",Human brain mapping,0.228,22438215,10.1002/hbm.22036,-1
supramarginal gyrus_00003,https://pubmed.ncbi.nlm.nih.gov/27704405/,The influence of interoceptive awareness on functional connectivity in patients with irritable bowel syndrome.,"Longarzo M, Quarantelli M, Aiello M, Romano M, Del Prete A, Cimminiello C, Cocozza S, Olivo G, Loguercio C, Trojano L, Grossi D",Brain imaging and behavior,0.207,27704405,10.1007/s11682-016-9595-5,-1
supramarginal gyrus_00004,https://pubmed.ncbi.nlm.nih.gov/25172183/,"A functional investigation of RAN letters, digits, and objects: How similar are they?","Cummine J, Szepesvari E, Chouinard B, Hanif W, Georgiou GK",Behavioural brain research,0.204,25172183,10.1016/j.bbr.2014.08.038,-1
supramarginal gyrus_00005,https://pubmed.ncbi.nlm.nih.gov/26808608/,Altered functional connectivity density in high myopia.,"Zhai L, Li Q, Wang T, Dong H, Peng Y, Guo M, Qin W, Yu C",Behavioural brain research,0.202,26808608,10.1016/j.bbr.2016.01.046,-1
supramarginal gyrus_00006,https://pubmed.ncbi.nlm.nih.gov/16872841/,"Interindividual uniformity and variety of the ""Writing center"": a functional MRI  study.","Sugihara G, Kaminaga T, Sugishita M",NeuroImage,0.199,16872841,10.1016/j.neuroimage.2006.05.035,-1
supramarginal gyrus_00007,https://pubmed.ncbi.nlm.nih.gov/24534814/,Deeper insights into semantic relations: an fMRI study of part-whole and functional associations.,"Muehlhaus J, Heim S, Altenbach F, Chatterjee A, Habel U, Sass K",Brain and language,0.192,24534814,-1,-1
supramarginal gyrus_00008,https://pubmed.ncbi.nlm.nih.gov/16221928/,Brain networks involved in viewing angry hands or faces.,"Grosbras MH, Paus T","Cerebral cortex (New York, N.Y. : 1991)",0.187,16221928,-1,-1
supramarginal gyrus_00009,https://pubmed.ncbi.nlm.nih.gov/25067820/,The functional anatomy of single-digit arithmetic in children with developmental  dyslexia.,"Evans TM, Flowers DL, Napoliello EM, Olulade OA, Eden GF",NeuroImage,0.182,25067820,-1,-1
supramarginal gyrus_00010,https://pubmed.ncbi.nlm.nih.gov/14597300/,Left inferior parietal cortex integrates time and space during collision judgments.,"Assmus A, Marshall JC, Ritzl A, Noth J, Zilles K, Fink GR",NeuroImage,0.166,14597300,-1,-1
supramarginal gyrus_00011,https://pubmed.ncbi.nlm.nih.gov/18245043/,A developmental fMRI study of reading and repetition reveals changes in phonological and visual mechanisms over age.,"Church JA, Coalson RS, Lugar HM, Petersen SE, Schlaggar BL","Cerebral cortex (New York, N.Y. : 1991)",0.161,18245043,10.1093/cercor/bhm228,-1
supramarginal gyrus_00012,https://pubmed.ncbi.nlm.nih.gov/15954141/,Human brain activation during passive listening to sounds from different locations: an fMRI and MEG study.,"Brunetti M, Belardinelli P, Caulo M, Del Gratta C, Della Penna S, Ferretti A, Lucci G, Moretti A, Pizzella V, Tartaro A, Torquati K, Olivetti Belardinelli M, Romani GL",Human brain mapping,0.157,15954141,10.1002/hbm.20164,-1
supramarginal gyrus_00013,https://pubmed.ncbi.nlm.nih.gov/22347857/,Neural correlates of recognition memory in children with febrile seizures: evidence from functional magnetic resonance imaging.,"Kipp KH, Opitz B, Becker M, Hofmann J, Krick C, Gortner L, Mecklinger A",Frontiers in human neuroscience,0.156,22347857,10.3389/fnhum.2012.00017,-1
supramarginal gyrus_00014,https://pubmed.ncbi.nlm.nih.gov/29197665/,To create or to recall original ideas: Brain processes associated with the imagination of novel object uses.,"Benedek M, Schues T, Beaty RE, Jauk E, Koschutnig K, Fink A, Neubauer AC",Cortex; a journal devoted to the study of the nervous system and behavior,0.156,29197665,10.1016/j.cortex.2017.10.024,-1
supramarginal gyrus_00015,https://pubmed.ncbi.nlm.nih.gov/26218431/,The Neural Basis of Typewriting: A Functional MRI Study.,"Higashiyama Y, Takeda K, Someya Y, Kuroiwa Y, Tanaka F",PloS one,0.153,26218431,-1,-1
supramarginal gyrus_00016,https://pubmed.ncbi.nlm.nih.gov/28829994/,Language for action: Motor resonance during the processing of human and robotic voices.,"Di Cesare G, Errante A, Marchi M, Cuccio V",Brain and cognition,0.152,28829994,-1,-1
supramarginal gyrus_00017,https://pubmed.ncbi.nlm.nih.gov/21147233/,Right parietal dominance in spatial egocentric discrimination.,"Loayza FR, Fernandez-Seara MA, Aznarez-Sanado M, Pastor MA",NeuroImage,0.151,21147233,-1,-1
supramarginal gyrus_00018,https://pubmed.ncbi.nlm.nih.gov/29505944/,The mental simulation of state/psychological verbs in the adolescent brain: An fMRI study.,"Tomasino B, Nobile M, Re M, Bellina M, Garzitto M, Arrigoni F, Molteni M, Fabbro F, Brambilla P",Brain and cognition,0.15,29505944,-1,-1
supramarginal gyrus_00019,https://pubmed.ncbi.nlm.nih.gov/22609578/,Motor familiarity: brain activation when watching kinematic displays of one's own movements.,"Bischoff M, Zentgraf K, Lorey B, Pilgramm S, Balser N, Baumgartner E, Hohmann T, Stark R, Vaitl D, Munzert J",Neuropsychologia,0.148,22609578,-1,-1
supramarginal gyrus_00020,https://pubmed.ncbi.nlm.nih.gov/15850725/,Adults and children processing music: an fMRI study.,"Koelsch S, Fritz T, Schulze K, Alsop D, Schlaug G",NeuroImage,0.145,15850725,-1,-1
