paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
switching_00001,https://pubmed.ncbi.nlm.nih.gov/17324590/,Neural bases of asymmetric language switching in second-language learners: an ER-fMRI study.,"Wang Y, Xue G, Chen C, Xue F, Dong Q",NeuroImage,0.744,17324590,-1,-1
switching_00002,https://pubmed.ncbi.nlm.nih.gov/25148704/,In-context language control with production tasks in bilinguals: an fMRI study.,"Zhang Y, Huang P, Song Z, Fang L, Shen T, Li Y, Gong Q, Xie P",Brain research,0.685,25148704,-1,-1
switching_00003,https://pubmed.ncbi.nlm.nih.gov/26699865/,Brain Activation of Identity Switching in Multiple Identity Tracking Task.,"Lyu C, Hu S, Wei L, Zhang X, Talhelm T",PloS one,0.675,26699865,-1,-1
switching_00004,https://pubmed.ncbi.nlm.nih.gov/22438215/,Differential roles of inferior frontal and inferior parietal cortex in task switching: evidence from stimulus-categorization switching and response-modality  switching.,"Philipp AM, Weidner R, Koch I, Fink GR",Human brain mapping,0.662,22438215,-1,-1
switching_00005,https://pubmed.ncbi.nlm.nih.gov/15038006/,"Neural correlates of switching set as measured in fast, event-related functional  magnetic resonance imaging.","Smith AB, Taylor E, Brammer M, Rubia K",Human brain mapping,0.661,15038006,-1,-1
switching_00006,https://pubmed.ncbi.nlm.nih.gov/20920489/,Neural correlates of task switching in paternal 15q11-q13 deletion Prader-Willi syndrome.,"Woodcock KA, Humphreys GW, Oliver C, Hansen PC",Brain research,0.626,20920489,-1,-1
switching_00007,https://pubmed.ncbi.nlm.nih.gov/21550652/,Neural bases of language switching in high and early proficient bilinguals.,"Garbin G, Costa A, Sanjuan A, Forn C, Rodriguez-Pujadas A, Ventura N, Belloch V, Hernandez M, Avila C",Brain and language,0.625,21550652,-1,-1
switching_00008,https://pubmed.ncbi.nlm.nih.gov/21568635/,Functional connectivity separates switching operations in the posterior lateral frontal cortex.,"Stelzel C, Basten U, Fiebach CJ",Journal of cognitive neuroscience,0.592,21568635,-1,-1
switching_00009,https://pubmed.ncbi.nlm.nih.gov/25734897/,Domain-independent neural underpinning of task-switching: an fMRI investigation.,"Vallesi A, Arbula S, Capizzi M, Causin F, D'Avella D",Cortex; a journal devoted to the study of the nervous system and behavior,0.59,25734897,-1,-1
switching_00010,https://pubmed.ncbi.nlm.nih.gov/22750124/,Common and distinct neural mechanisms of attentional switching and response conflict.,"Kim C, Johnson NF, Gold BT",Brain research,0.579,22750124,-1,-1
switching_00011,https://pubmed.ncbi.nlm.nih.gov/11976394/,Role of the human medial frontal cortex in task switching: a combined fMRI and TMS study.,"Rushworth MF, Hadland KA, Paus T, Sipila PK",Journal of neurophysiology,0.572,11976394,10.1152/jn.2002.87.5.2577,-1
switching_00012,https://pubmed.ncbi.nlm.nih.gov/26716447/,Task-switching Cost and Intrinsic Functional Connectivity in the Human Brain: Toward Understanding Individual Differences in Cognitive Flexibility.,"Yin S, Wang T, Pan W, Liu Y, Chen A",PloS one,0.562,26716447,10.1371/journal.pone.0145826,-1
switching_00013,https://pubmed.ncbi.nlm.nih.gov/14762135/,Functional magnetic resonance imaging examination of two modular architectures for switching multiple internal models.,"Imamizu H, Kuroda T, Yoshioka T, Kawato M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.532,14762135,10.1523/JNEUROSCI.4011-03.2004,-1
switching_00014,https://pubmed.ncbi.nlm.nih.gov/10666562/,Prefrontal cortex activation in task switching: an event-related fMRI study.,"Dove A, Pollmann S, Schubert T, Wiggins CJ, von Cramon DY",Brain research. Cognitive brain research,0.521,10666562,10.1016/s0926-6410(99)00029-4,-1
switching_00015,https://pubmed.ncbi.nlm.nih.gov/23079572/,fMRI task parameters influence hemodynamic activity in regions implicated in mental set switching.,"Witt ST, Stevens MC",NeuroImage,0.513,23079572,-1,-1
