paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
temporal lobes_00001,https://pubmed.ncbi.nlm.nih.gov/20815733/,Differential activity for animals and manipulable objects in the anterior temporal lobes.,"Anzellotti S, Mahon BZ, Schwarzbach J, Caramazza A",Journal of cognitive neuroscience,0.379,20815733,-1,-1
temporal lobes_00002,https://pubmed.ncbi.nlm.nih.gov/25071527/,On the definition and interpretation of voice selective activation in the temporal cortex.,"Bethmann A, Brechmann A",Frontiers in human neuroscience,0.331,25071527,-1,-1
temporal lobes_00003,https://pubmed.ncbi.nlm.nih.gov/21168516/,"Patterns of brain reorganization subsequent to left fusiform damage: fMRI evidence from visual processing of words and pseudowords, faces and objects.","Tsapkini K, Vindiola M, Rapp B",NeuroImage,0.213,21168516,-1,-1
temporal lobes_00004,https://pubmed.ncbi.nlm.nih.gov/10982747/,Sex differences in lateralization revealed in the posterior language areas.,"Kansaku K, Yamaura A, Kitazawa S","Cerebral cortex (New York, N.Y. : 1991)",0.205,10982747,-1,-1
temporal lobes_00005,https://pubmed.ncbi.nlm.nih.gov/23019005/,Sensitivity to musical structure in the human brain.,"Fedorenko E, McDermott JH, Norman-Haignere S, Kanwisher N",Journal of neurophysiology,0.199,23019005,-1,-1
temporal lobes_00006,https://pubmed.ncbi.nlm.nih.gov/24224044/,Grey matter correlates of three language tests in non-demented older adults.,"Zhang H, Sachdev PS, Wen W, Kochan NA, Crawford JD, Brodaty H, Slavin MJ, Reppermund S, Kang K, Trollor JN",PloS one,0.197,24224044,-1,-1
temporal lobes_00007,https://pubmed.ncbi.nlm.nih.gov/9808463/,A common network of functional areas for attention and eye movements.,"Corbetta M, Akbudak E, Conturo TE, Snyder AZ, Ollinger JM, Drury HA, Linenweber MR, Petersen SE, Raichle ME, Van Essen DC, Shulman GL",Neuron,0.192,9808463,-1,-1
temporal lobes_00008,https://pubmed.ncbi.nlm.nih.gov/15013829/,Posttraumatic stress disorder and fMRI activation patterns of traumatic memory in patients with borderline personality disorder.,"Driessen M, Beblo T, Mertens M, Piefke M, Rullkoetter N, Silva-Saavedra A, Reddemann L, Rau H, Markowitsch HJ, Wulff H, Lange W, Woermann FG",Biological psychiatry,0.188,15013829,-1,-1
temporal lobes_00009,https://pubmed.ncbi.nlm.nih.gov/23052545/,"The ""vegetarian brain"": chatting with monkeys and pigs?","Filippi M, Riccitelli G, Meani A, Falini A, Comi G, Rocca MA",Brain structure & function,0.184,23052545,-1,-1
temporal lobes_00010,https://pubmed.ncbi.nlm.nih.gov/23933482/,Lateral temporal hyper-activation as a novel biomarker of mild cognitive impairment.,"Faraco CC, Puente AN, Brown C, Terry DP, Stephen Miller L",Neuropsychologia,0.177,23933482,-1,-1
temporal lobes_00011,https://pubmed.ncbi.nlm.nih.gov/19782696/,"Social cues, mentalizing and the neural processing of speech accompanied by gestures.","Straube B, Green A, Jansen A, Chatterjee A, Kircher T",Neuropsychologia,0.169,19782696,-1,-1
temporal lobes_00012,https://pubmed.ncbi.nlm.nih.gov/14749289/,fMRI correlates of state and trait effects in subjects at genetically enhanced risk of schizophrenia.,"Whalley HC, Simonotto E, Flett S, Marshall I, Ebmeier KP, Owens DG, Goddard NH, Johnstone EC, Lawrie SM",Brain : a journal of neurology,0.165,14749289,-1,-1
temporal lobes_00013,https://pubmed.ncbi.nlm.nih.gov/15850721/,Grey matter changes over time in high risk subjects developing schizophrenia.,"Job DE, Whalley HC, Johnstone EC, Lawrie SM",NeuroImage,0.162,15850721,-1,-1
temporal lobes_00014,https://pubmed.ncbi.nlm.nih.gov/19442751/,Memory performance correlates with gray matter density in the ento-/perirhinal cortex and posterior hippocampus in patients with mild cognitive impairment and healthy controls--a voxel based morphomet,"Schmidt-Wilcke T, Poljansky S, Hierlmeier S, Hausner J, Ibach B",NeuroImage,0.162,19442751,-1,-1
