paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
temporo_00001,https://pubmed.ncbi.nlm.nih.gov/14755836/,Neural mechanisms underlying reaching for remembered targets cued kinesthetically or visually in left or right hemispace.,"Butler AJ, Fink GR, Dohle C, Wunderlich G, Tellmann L, Seitz RJ, Zilles K, Freund HJ",Human brain mapping,0.327,14755836,-1,-1
temporo_00002,https://pubmed.ncbi.nlm.nih.gov/25463475/,Beyond the word and image: characteristics of a common meaning system for language and vision revealed by functional and structural imaging.,"Jouen AL, Ellmore TM, Madden CJ, Pallier C, Dominey PF, Ventre-Dominey J",NeuroImage,0.32,25463475,-1,-1
temporo_00003,https://pubmed.ncbi.nlm.nih.gov/20570684/,A virtual reality-based FMRI study of reward-based spatial learning.,"Marsh R, Hao X, Xu D, Wang Z, Duan Y, Liu J, Kangarlu A, Martinez D, Garcia F, Tau GZ, Yu S, Packard MG, Peterson BS",Neuropsychologia,0.236,20570684,-1,-1
temporo_00004,https://pubmed.ncbi.nlm.nih.gov/10356062/,A large-scale distributed network for covert spatial attention: further anatomical delineation based on stringent behavioural and cognitive controls.,"Gitelman DR, Nobre AC, Parrish TB, LaBar KS, Kim YH, Meyer JR, Mesulam M",Brain : a journal of neurology,0.232,10356062,-1,-1
temporo_00005,https://pubmed.ncbi.nlm.nih.gov/18644454/,Neural correlates of hemispheric dominance and ipsilaterality within the vestibular system.,"Janzen J, Schlindwein P, Bense S, Bauermann T, Vucurevic G, Stoeter P, Dieterich M",NeuroImage,0.215,18644454,-1,-1
temporo_00006,https://pubmed.ncbi.nlm.nih.gov/19135072/,Perspective-taking as part of narrative comprehension: a functional MRI study.,"Mano Y, Harada T, Sugiura M, Saito DN, Sadato N",Neuropsychologia,0.206,19135072,-1,-1
temporo_00007,https://pubmed.ncbi.nlm.nih.gov/27143223/,Hemispheric involvement in the processing of Chinese idioms: An fMRI study.,"Yang J, Li P, Fang X, Shu H, Liu Y, Chen L",Neuropsychologia,0.187,27143223,-1,-1
temporo_00008,https://pubmed.ncbi.nlm.nih.gov/19246473/,Highly religious participants recruit areas of social cognition in personal prayer.,"Schjoedt U, Stodkilde-Jorgensen H, Geertz AW, Roepstorff A",Social cognitive and affective neuroscience,0.182,19246473,-1,-1
temporo_00009,https://pubmed.ncbi.nlm.nih.gov/27747153/,"Structural brain abnormalities in a single gene disorder associated with epilepsy, language impairment and intellectual disability.","Bathelt J, Astle D, Barnes J, Raymond FL, Baker K",NeuroImage. Clinical,0.182,27747153,-1,-1
temporo_00010,https://pubmed.ncbi.nlm.nih.gov/22225882/,Landmark sequencing and route knowledge: an fMRI study.,"Nemmi F, Piras F, Peran P, Incoccia C, Sabatini U, Guariglia C",Cortex; a journal devoted to the study of the nervous system and behavior,0.18,22225882,-1,-1
