paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
temporoparietal junction_00001,https://pubmed.ncbi.nlm.nih.gov/21569855/,An fMRI study of violations of social expectations: when people are not who we expect them to be.,"Cloutier J, Gabrieli JD, O'Young D, Ambady N",NeuroImage,0.184,21569855,-1,-1
temporoparietal junction_00002,https://pubmed.ncbi.nlm.nih.gov/21576110/,Lesion evidence for the critical role of the intraparietal sulcus in spatial attention.,"Gillebert CR, Mantini D, Thijs V, Sunaert S, Dupont P, Vandenberghe R",Brain : a journal of neurology,0.183,21576110,-1,-1
temporoparietal junction_00003,https://pubmed.ncbi.nlm.nih.gov/22209639/,Cortical thickness and folding deficits in conduct-disordered adolescents.,"Hyatt CJ, Haney-Caron E, Stevens MC",Biological psychiatry,0.159,22209639,-1,-1
temporoparietal junction_00004,https://pubmed.ncbi.nlm.nih.gov/19804836/,Tease or threat? Judging social interactions from bodily expressions.,"Sinke CB, Sorger B, Goebel R, de Gelder B",NeuroImage,0.154,19804836,-1,-1
temporoparietal junction_00005,https://pubmed.ncbi.nlm.nih.gov/23245426/,Alexithymia decreases altruism in real social decisions.,"Feldmanhall O, Dalgleish T, Mobbs D",Cortex; a journal devoted to the study of the nervous system and behavior,0.153,23245426,-1,-1
temporoparietal junction_00006,https://pubmed.ncbi.nlm.nih.gov/24642509/,Altered intrinsic functional connectivity of the salience network in childhood absence epilepsy.,"Luo C, Yang T, Tu S, Deng J, Liu D, Li Q, Dong L, Goldberg I, Gong Q, Zhang D, An D, Zhou D, Yao D",Journal of the neurological sciences,0.147,24642509,-1,-1
temporoparietal junction_00007,https://pubmed.ncbi.nlm.nih.gov/21737435/,Empathic neural responses to others' pain depend on monetary reward.,"Guo X, Zheng L, Zhang W, Zhu L, Li J, Wang Q, Dienes Z, Yang Z",Social cognitive and affective neuroscience,0.144,21737435,-1,-1
temporoparietal junction_00008,https://pubmed.ncbi.nlm.nih.gov/16116098/,Tactile form and location processing in the human brain.,"Van Boven RW, Ingeholm JE, Beauchamp MS, Bikle PC, Ungerleider LG",Proceedings of the National Academy of Sciences of the United States of America,0.142,16116098,-1,-1
temporoparietal junction_00009,https://pubmed.ncbi.nlm.nih.gov/20096792/,Live face-to-face interaction during fMRI: a new tool for social cognitive neuroscience.,"Redcay E, Dodell-Feder D, Pearrow MJ, Mavros PL, Kleiner M, Gabrieli JD, Saxe R",NeuroImage,0.141,20096792,-1,-1
temporoparietal junction_00010,https://pubmed.ncbi.nlm.nih.gov/18514546/,Gender differences in brain networks supporting empathy.,"Schulte-Ruther M, Markowitsch HJ, Shah NJ, Fink GR, Piefke M",NeuroImage,0.136,18514546,-1,-1
temporoparietal junction_00011,https://pubmed.ncbi.nlm.nih.gov/18234521/,The neural substrates of person comparison--an fMRI study.,"Lindner M, Hundhammer T, Ciaramidaro A, Linden DE, Mussweiler T",NeuroImage,0.133,18234521,-1,-1
temporoparietal junction_00012,https://pubmed.ncbi.nlm.nih.gov/25140046/,Neural coding of assessing another person's knowledge based on nonverbal cues.,"Kuhlen AK, Bogler C, Swerts M, Haynes JD",Social cognitive and affective neuroscience,0.133,25140046,-1,-1
temporoparietal junction_00013,https://pubmed.ncbi.nlm.nih.gov/12595185/,Separating distractor rejection and target detection in posterior parietal cortex--an event-related fMRI study of visual marking.,"Pollmann S, Weidner R, Humphreys GW, Olivers CN, Muller K, Lohmann G, Wiggins CJ, Watson DG",NeuroImage,0.131,12595185,-1,-1
temporoparietal junction_00014,https://pubmed.ncbi.nlm.nih.gov/20696386/,When giving is good: ventromedial prefrontal cortex activation for others' intentions.,"Cooper JC, Kreps TA, Wiebe T, Pirkl T, Knutson B",Neuron,0.13,20696386,-1,-1
temporoparietal junction_00015,https://pubmed.ncbi.nlm.nih.gov/20525743/,Neuroimaging social emotional processing in women: fMRI study of script-driven imagery.,"Frewen PA, Dozois DJ, Neufeld RW, Densmore M, Stevens TK, Lanius RA",Social cognitive and affective neuroscience,0.129,20525743,-1,-1
