paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
theory mind_00001,https://pubmed.ncbi.nlm.nih.gov/19632299/,Individual differences in the theory of mind and superior temporal sulcus.,"Otsuka Y, Osaka N, Ikeda T, Osaka M",Neuroscience letters,0.463,19632299,-1,-1
theory mind_00002,https://pubmed.ncbi.nlm.nih.gov/10617288/,Reading the mind in cartoons and stories: an fMRI study of 'theory of mind' in verbal and nonverbal tasks.,"Gallagher HL, Happe F, Brunswick N, Fletcher PC, Frith U, Frith CD",Neuropsychologia,0.403,10617288,-1,-1
theory mind_00003,https://pubmed.ncbi.nlm.nih.gov/15275925/,The neural correlates of theory of mind within interpersonal interactions.,"Rilling JK, Sanfey AG, Aronson JA, Nystrom LE, Cohen JD",NeuroImage,0.389,15275925,-1,-1
theory mind_00004,https://pubmed.ncbi.nlm.nih.gov/18329671/,"An fMRI study of theory of mind in schizophrenic patients with ""passivity"" symptoms.","Brune M, Lissek S, Fuchs N, Witthaus H, Peters S, Nicolas V, Juckel G, Tegenthoff M",Neuropsychologia,0.356,18329671,-1,-1
theory mind_00005,https://pubmed.ncbi.nlm.nih.gov/22637582/,Social cognitive deficits and their neural correlates in progressive supranuclear palsy.,"Ghosh BC, Calder AJ, Peers PV, Lawrence AD, Acosta-Cabronero J, Pereira JM, Hodges JR, Rowe JB",Brain : a journal of neurology,0.325,22637582,-1,-1
theory mind_00006,https://pubmed.ncbi.nlm.nih.gov/17551089/,Activity in right temporo-parietal junction is not selective for theory-of-mind.,Mitchell JP,"Cerebral cortex (New York, N.Y. : 1991)",0.319,17551089,-1,-1
theory mind_00007,https://pubmed.ncbi.nlm.nih.gov/21559448/,First-person perspective effects on theory of mind without self-reference.,"Otsuka Y, Osaka N, Yaoi K, Osaka M",PloS one,0.303,21559448,-1,-1
theory mind_00008,https://pubmed.ncbi.nlm.nih.gov/21229617/,Differentiable cortical networks for inferences concerning people's intentions versus physical causality.,"Mason RA, Just MA",Human brain mapping,0.298,21229617,-1,-1
theory mind_00009,https://pubmed.ncbi.nlm.nih.gov/25885533/,Action processing and mirror neuron function in patients with amyotrophic lateral sclerosis: an fMRI study.,"Jelsone-Swain L, Persad C, Burkard D, Welsh RC",PloS one,0.295,25885533,-1,-1
theory mind_00010,https://pubmed.ncbi.nlm.nih.gov/27913157/,Further evidence of alerted default network connectivity and association with theory of mind ability in schizophrenia.,"Mothersill O, Tangney N, Morris DW, McCarthy H, Frodl T, Gill M, Corvin A, Donohoe G",Schizophrenia research,0.29,27913157,-1,-1
theory mind_00011,https://pubmed.ncbi.nlm.nih.gov/24523434/,Right anterior temporal lobe dysfunction underlies theory of mind impairments in  semantic dementia.,"Irish M, Hodges JR, Piguet O",Brain : a journal of neurology,0.289,24523434,-1,-1
theory mind_00012,https://pubmed.ncbi.nlm.nih.gov/28069445/,Person perception involves functional integration between the extrastriate body area and temporal pole.,"Greven IM, Ramsey R",Neuropsychologia,0.289,28069445,-1,-1
theory mind_00013,https://pubmed.ncbi.nlm.nih.gov/22371086/,Age-related neural differences in affiliation and isolation.,"Beadle JN, Yoon C, Gutchess AH","Cognitive, affective & behavioral neuroscience",0.287,22371086,-1,-1
theory mind_00014,https://pubmed.ncbi.nlm.nih.gov/16337813/,Do visual perspective tasks need theory of mind?,"Aichhorn M, Perner J, Kronbichler M, Staffen W, Ladurner G",NeuroImage,0.267,16337813,-1,-1
theory mind_00015,https://pubmed.ncbi.nlm.nih.gov/25208740/,Person-specific theory of mind in medial pFC.,"Welborn BL, Lieberman MD",Journal of cognitive neuroscience,0.267,25208740,-1,-1
theory mind_00016,https://pubmed.ncbi.nlm.nih.gov/18234521/,The neural substrates of person comparison--an fMRI study.,"Lindner M, Hundhammer T, Ciaramidaro A, Linden DE, Mussweiler T",NeuroImage,0.265,18234521,-1,-1
theory mind_00017,https://pubmed.ncbi.nlm.nih.gov/16112148/,Differential role of the orbital frontal lobe in emotional versus cognitive perspective-taking.,"Hynes CA, Baird AA, Grafton ST",Neuropsychologia,0.258,16112148,-1,-1
theory mind_00018,https://pubmed.ncbi.nlm.nih.gov/22355319/,Working together may be better: activation of reward centers during a cooperative maze task.,"Krill AL, Platek SM",PloS one,0.254,22355319,-1,-1
theory mind_00019,https://pubmed.ncbi.nlm.nih.gov/23770622/,Cognitive and affective theory of mind share the same local patterns of activity  in posterior temporal but not medial prefrontal cortex.,"Corradi-Dell'acqua C, Hofstetter C, Vuilleumier P",Social cognitive and affective neuroscience,0.254,23770622,-1,-1
theory mind_00020,https://pubmed.ncbi.nlm.nih.gov/25795704/,"Autism: reduced connectivity between cortical areas involved in face expression,  theory of mind, and the sense of self.","Cheng W, Rolls ET, Gu H, Zhang J, Feng J",Brain : a journal of neurology,0.219,25795704,-1,-1
theory mind_00021,https://pubmed.ncbi.nlm.nih.gov/24513232/,The activation of theory of mind network differentiates between point-to-self and point-to-other verbal jokes: an fMRI study.,"Feng S, Ye X, Mao L, Yue X",Neuroscience letters,0.215,24513232,10.1016/j.neulet.2014.01.059,-1
theory mind_00022,https://pubmed.ncbi.nlm.nih.gov/29311795/,Neural and Genetic Correlates of the Social Sharing of Happiness.,"Matsunaga M, Kawamichi H, Umemura T, Hori R, Shibata E, Kobayashi F, Suzuki K, Ishii K, Ohtsubo Y, Noguchi Y, Ochi M, Yamasue H, Ohira H",Frontiers in neuroscience,0.213,29311795,-1,-1
theory mind_00023,https://pubmed.ncbi.nlm.nih.gov/28527316/,Effects of contextual relevance on pragmatic inference during conversation: An fMRI study.,"Feng W, Wu Y, Jan C, Yu H, Jiang X, Zhou X",Brain and language,0.187,28527316,-1,-1
theory mind_00024,https://pubmed.ncbi.nlm.nih.gov/12948738/,"People thinking about thinking people. The role of the temporo-parietal junction  in ""theory of mind"".","Saxe R, Kanwisher N",NeuroImage,0.184,12948738,-1,-1
theory mind_00025,https://pubmed.ncbi.nlm.nih.gov/17689103/,Comprehension of implicit meanings in social situations involving irony: a functional MRI study.,"Wakusawa K, Sugiura M, Sassa Y, Jeong H, Horie K, Sato S, Yokoyama H, Tsuchiya S, Inuma K, Kawashima R",NeuroImage,0.184,17689103,-1,-1
theory mind_00026,https://pubmed.ncbi.nlm.nih.gov/19580387/,"Patterns of brain activity supporting autobiographical memory, prospection, and theory of mind, and their relationship to the default mode network.","Spreng RN, Grady CL",Journal of cognitive neuroscience,0.184,19580387,-1,-1
theory mind_00027,https://pubmed.ncbi.nlm.nih.gov/22403155/,Counterfactual thinking: an fMRI study on changing the past for a better future.,"Van Hoeck N, Ma N, Ampe L, Baetens K, Vandekerckhove M, Van Overwalle F",Social cognitive and affective neuroscience,0.173,22403155,-1,-1
theory mind_00028,https://pubmed.ncbi.nlm.nih.gov/20071019/,Neural correlates of irony comprehension: the role of schizotypal personality traits.,"Rapp AM, Mutschler DE, Wild B, Erb M, Lengsfeld I, Saur R, Grodd W",Brain and language,0.172,20071019,-1,-1
theory mind_00029,https://pubmed.ncbi.nlm.nih.gov/24055199/,Prefrontal cortical dysfunction during visual perspective-taking in schizophrenia.,"Eack SM, Wojtalik JA, Newhill CE, Keshavan MS, Phillips ML",Schizophrenia research,0.167,24055199,-1,-1
theory mind_00030,https://pubmed.ncbi.nlm.nih.gov/21575660/,Neural correlates related to action observation in expert archers.,"Kim YT, Seo JH, Song HJ, Yoo DS, Lee HJ, Lee J, Lee G, Kwon E, Kim JG, Chang Y",Behavioural brain research,0.162,21575660,-1,-1
theory mind_00031,https://pubmed.ncbi.nlm.nih.gov/15820652/,Contagious yawning and the brain.,"Platek SM, Mohamed FB, Gallup GG Jr",Brain research. Cognitive brain research,0.153,15820652,-1,-1
theory mind_00032,https://pubmed.ncbi.nlm.nih.gov/27260987/,Neural activity during self-referential working memory and the underlying role of the amygdala in social anxiety disorder.,"Yoon HJ, Kim JS, Shin YB, Choi SH, Lee SK, Kim JJ",Neuroscience letters,0.149,27260987,-1,-1
theory mind_00033,https://pubmed.ncbi.nlm.nih.gov/19803685/,Common and unique neural correlates of autobiographical memory and theory of mind.,"Rabin JS, Gilboa A, Stuss DT, Mar RA, Rosenbaum RS",Journal of cognitive neuroscience,0.146,19803685,-1,-1
theory mind_00034,https://pubmed.ncbi.nlm.nih.gov/27851821/,Neural Correlates of Contrast and Humor: Processing Common Features of Verbal Irony.,"Obert A, Gierski F, Calmus A, Flucher A, Portefaix C, Pierot L, Kaladjian A, Caillies S",PloS one,0.145,27851821,-1,-1
theory mind_00035,https://pubmed.ncbi.nlm.nih.gov/28338962/,Higher order intentionality tasks are cognitively more demanding.,"Lewis PA, Birch A, Hall A, Dunbar RIM",Social cognitive and affective neuroscience,0.143,28338962,-1,-1
theory mind_00036,https://pubmed.ncbi.nlm.nih.gov/19822601/,Interdependent self-construal and neural representations of self and mother.,"Ray RD, Shelton AL, Hollon NG, Matsumoto D, Frankel CB, Gross JJ, Gabrieli JD",Social cognitive and affective neuroscience,0.141,19822601,-1,-1
theory mind_00037,https://pubmed.ncbi.nlm.nih.gov/19273839/,Cognitive and neural foundations of religious belief.,"Kapogiannis D, Barbey AK, Su M, Zamboni G, Krueger F, Grafman J",Proceedings of the National Academy of Sciences of the United States of America,0.136,19273839,-1,-1
theory mind_00038,https://pubmed.ncbi.nlm.nih.gov/21616156/,Ventromedial prefrontal volume predicts understanding of others and social network size.,"Lewis PA, Rezaie R, Brown R, Roberts N, Dunbar RI",NeuroImage,0.132,21616156,-1,-1
theory mind_00039,https://pubmed.ncbi.nlm.nih.gov/19733672/,Neural correlates of social cognition in naturalistic settings: a model-free analysis approach.,"Wolf I, Dziobek I, Heekeren HR",NeuroImage,0.13,19733672,-1,-1
theory mind_00040,https://pubmed.ncbi.nlm.nih.gov/29221830/,Distinguishable memory retrieval networks for collaboratively and non-collaboratively learned information.,"Vanlangendonck F, Takashima A, Willems RM, Hagoort P",Neuropsychologia,0.126,29221830,-1,-1
theory mind_00041,https://pubmed.ncbi.nlm.nih.gov/18612463/,Can machines think? Interaction and perspective taking with robots investigated via fMRI.,"Krach S, Hegel F, Wrede B, Sagerer G, Binkofski F, Kircher T",PloS one,0.124,18612463,10.1371/journal.pone.0002597,-1
theory mind_00042,https://pubmed.ncbi.nlm.nih.gov/19618409/,The neural origins of superficial and individuated judgments about ingroup and outgroup members.,"Freeman JB, Schiller D, Rule NO, Ambady N",Human brain mapping,0.124,19618409,10.1002/hbm.20852,-1
theory mind_00043,https://pubmed.ncbi.nlm.nih.gov/15275919/,Social and emotional attachment in the neural representation of faces.,"Gobbini MI, Leibenluft E, Santiago N, Haxby JV",NeuroImage,0.122,15275919,-1,-1
theory mind_00044,https://pubmed.ncbi.nlm.nih.gov/20849234/,Distinct neural systems involved in agency and animacy detection.,"Gobbini MI, Gentili C, Ricciardi E, Bellucci C, Salvini P, Laschi C, Guazzelli M, Pietrini P",Journal of cognitive neuroscience,0.121,20849234,-1,-1
theory mind_00045,https://pubmed.ncbi.nlm.nih.gov/19535615/,Neural correlates of observing pretend play in which one object is represented as another.,"Whitehead C, Marchant JL, Craik D, Frith CD",Social cognitive and affective neuroscience,0.119,19535615,-1,-1
theory mind_00046,https://pubmed.ncbi.nlm.nih.gov/21427167/,Guilt-specific processing in the prefrontal cortex.,"Wagner U, N'Diaye K, Ethofer T, Vuilleumier P","Cerebral cortex (New York, N.Y. : 1991)",0.119,21427167,-1,-1
theory mind_00047,https://pubmed.ncbi.nlm.nih.gov/25480358/,Increased Visual Stimulation Systematically Decreases Activity in Lateral Intermediate Cortex.,"Nasr S, Stemmann H, Vanduffel W, Tootell RB","Cerebral cortex (New York, N.Y. : 1991)",0.118,25480358,-1,-1
theory mind_00048,https://pubmed.ncbi.nlm.nih.gov/16891125/,Caught in the act: the impact of audience on the neural response to morally and socially inappropriate behavior.,"Finger EC, Marsh AA, Kamel N, Mitchell DG, Blair JR",NeuroImage,0.117,16891125,-1,-1
theory mind_00049,https://pubmed.ncbi.nlm.nih.gov/26746580/,The effects of gratitude expression on neural activity.,"Kini P, Wong J, McInnis S, Gabana N, Brown JW",NeuroImage,0.117,26746580,-1,-1
theory mind_00050,https://pubmed.ncbi.nlm.nih.gov/22270350/,Reduced caudate volume and enhanced striatal-DMN integration in chess experts.,"Duan X, He S, Liao W, Liang D, Qiu L, Wei L, Li Y, Liu C, Gong Q, Chen H",NeuroImage,0.115,22270350,-1,-1
theory mind_00051,https://pubmed.ncbi.nlm.nih.gov/19429079/,Online mentalising investigated with functional MRI.,"Kircher T, Blumel I, Marjoram D, Lataster T, Krabbendam L, Weber J, van Os J, Krach S",Neuroscience letters,0.113,19429079,10.1016/j.neulet.2009.03.026,-1
theory mind_00052,https://pubmed.ncbi.nlm.nih.gov/22038706/,Authenticity affects the recognition of emotions in speech: behavioral and fMRI evidence.,"Drolet M, Schubotz RI, Fischer J","Cognitive, affective & behavioral neuroscience",0.113,22038706,10.3758/s13415-011-0069-3,-1
theory mind_00053,https://pubmed.ncbi.nlm.nih.gov/23887807/,Individual differences in anthropomorphic attributions and human brain structure.,"Cullen H, Kanai R, Bahrami B, Rees G",Social cognitive and affective neuroscience,0.113,23887807,10.1093/scan/nst109,-1
