paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
unimodal_00001,https://pubmed.ncbi.nlm.nih.gov/20444445/,Cross-modal interactions between human faces and voices involved in person recognition.,"Joassin F, Pesenti M, Maurage P, Verreckt E, Bruyer R, Campanella S",Cortex; a journal devoted to the study of the nervous system and behavior,0.464,20444445,-1,-1
unimodal_00002,https://pubmed.ncbi.nlm.nih.gov/24155952/,Brain deactivation in the outperformance in bimodal tasks: an FMRI study.,"Chiang TC, Liang KC, Chen JH, Hsieh CH, Huang YA",PloS one,0.422,24155952,-1,-1
unimodal_00003,https://pubmed.ncbi.nlm.nih.gov/20832486/,The neural network sustaining the crossmodal processing of human gender from faces and voices: an fMRI study.,"Joassin F, Maurage P, Campanella S",NeuroImage,0.384,20832486,-1,-1
unimodal_00004,https://pubmed.ncbi.nlm.nih.gov/15716469/,Attention to simultaneous unrelated auditory and visual events: behavioral and neural correlates.,"Johnson JA, Zatorre RJ","Cerebral cortex (New York, N.Y. : 1991)",0.355,15716469,-1,-1
unimodal_00005,https://pubmed.ncbi.nlm.nih.gov/22658706/,The neural network sustaining crossmodal integration is impaired in alcohol-dependence: an fMRI study.,"Maurage P, Joassin F, Pesenti M, Grandin C, Heeren A, Philippot P, de Timary P",Cortex; a journal devoted to the study of the nervous system and behavior,0.346,22658706,-1,-1
unimodal_00006,https://pubmed.ncbi.nlm.nih.gov/19083992/,Multimodal motion processing in area V5/MT: evidence from an artificial class of  audio-visual events.,"Scheef L, Boecker H, Daamen M, Fehse U, Landsberg MW, Granath DO, Mechling H, Effenberg AO",Brain research,0.332,19083992,-1,-1
unimodal_00007,https://pubmed.ncbi.nlm.nih.gov/28439662/,The angular gyrus is a supramodal comparator area in action-outcome monitoring.,"van Kemenade BM, Arikan BE, Kircher T, Straube B",Brain structure & function,0.314,28439662,-1,-1
unimodal_00008,https://pubmed.ncbi.nlm.nih.gov/19572308/,Crossmodal influences in somatosensory cortex: Interaction of vision and touch.,"Dionne JK, Meehan SK, Legon W, Staines WR",Human brain mapping,0.309,19572308,-1,-1
unimodal_00009,https://pubmed.ncbi.nlm.nih.gov/10982748/,A comparison of visual and auditory motion processing in human cerebral cortex.,"Lewis JW, Beauchamp MS, DeYoe EA","Cerebral cortex (New York, N.Y. : 1991)",0.287,10982748,-1,-1
unimodal_00010,https://pubmed.ncbi.nlm.nih.gov/21750692/,Reproducibility and discriminability of brain patterns of semantic categories enhanced by congruent audiovisual stimuli.,"Li Y, Wang G, Long J, Yu Z, Huang B, Li X, Yu T, Liang C, Li Z, Sun P",PloS one,0.262,21750692,-1,-1
unimodal_00011,https://pubmed.ncbi.nlm.nih.gov/23872285/,Neural correlates of audiovisual speech processing in a second language.,"Barros-Loscertales A, Ventura-Campos N, Visser M, Alsius A, Pallier C, Avila Rivera C, Soto-Faraco S",Brain and language,0.255,23872285,-1,-1
unimodal_00012,https://pubmed.ncbi.nlm.nih.gov/17916334/,Regional specificity and practice: dynamic changes in object and spatial working  memory.,"Landau SM, Garavan H, Schumacher EH, D'Esposito M",Brain research,0.245,17916334,-1,-1
