paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
verbal fluency_00001,https://pubmed.ncbi.nlm.nih.gov/19350564/,Genetic variation in the schizophrenia-risk gene neuregulin 1 correlates with brain activation and impaired speech production in a verbal fluency task in healthy individuals.,"Kircher T, Krug A, Markov V, Whitney C, Krach S, Zerres K, Eggermann T, Stocker T, Shah NJ, Treutlein J, Nothen MM, Becker T, Rietschel M",Human brain mapping,0.541,19350564,-1,-1
verbal fluency_00002,https://pubmed.ncbi.nlm.nih.gov/19781653/,Effect of CACNA1C rs1006737 on neural correlates of verbal fluency in healthy individuals.,"Krug A, Nieratschker V, Markov V, Krach S, Jansen A, Zerres K, Eggermann T, Stocker T, Shah NJ, Treutlein J, Muhleisen TW, Kircher T",NeuroImage,0.475,19781653,-1,-1
verbal fluency_00003,https://pubmed.ncbi.nlm.nih.gov/20336655/,Genetic variation in G72 correlates with brain activation in the right middle temporal gyrus in a verbal fluency task in healthy individuals.,"Krug A, Markov V, Krach S, Jansen A, Zerres K, Eggermann T, Stocker T, Shah NJ, Nothen MM, Georgi A, Strohmaier J, Rietschel M, Kircher T",Human brain mapping,0.412,20336655,10.1002/hbm.21005,-1
verbal fluency_00004,https://pubmed.ncbi.nlm.nih.gov/26903827/,Trait Anxiety Modulates Brain Activity during Performance of Verbal Fluency Tasks.,"Gawda B, Szepietowska E",Frontiers in behavioral neuroscience,0.408,26903827,10.3389/fnbeh.2016.00010,-1
verbal fluency_00005,https://pubmed.ncbi.nlm.nih.gov/22691614/,Neural correlates of continuous causal word generation.,"Wende KC, Straube B, Stratmann M, Sommer J, Kircher T, Nagels A",NeuroImage,0.4,22691614,10.1016/j.neuroimage.2012.06.003,-1
verbal fluency_00006,https://pubmed.ncbi.nlm.nih.gov/21447325/,Neural correlates of rhyming vs. lexical and semantic fluency.,"Kircher T, Nagels A, Kirner-Veselinovic A, Krach S",Brain research,0.396,21447325,10.1016/j.brainres.2011.03.054,-1
verbal fluency_00007,https://pubmed.ncbi.nlm.nih.gov/20727411/,Neural correlates of S-ketamine induced psychosis during overt continuous verbal  fluency.,"Nagels A, Kirner-Veselinovic A, Krach S, Kircher T",NeuroImage,0.374,20727411,10.1016/j.neuroimage.2010.08.021,-1
verbal fluency_00008,https://pubmed.ncbi.nlm.nih.gov/19632335/,Neural systems supporting lexical search guided by letter and semantic category cues: a self-paced overt response fMRI study of verbal fluency.,"Birn RM, Kenworthy L, Case L, Caravella R, Jones TB, Bandettini PA, Martin A",NeuroImage,0.371,19632335,10.1016/j.neuroimage.2009.07.036,-1
verbal fluency_00009,https://pubmed.ncbi.nlm.nih.gov/16228196/,Effects of ketamine on prefrontal and striatal regions in an overt verbal fluency task: a functional magnetic resonance imaging study.,"Fu CH, Abel KM, Allin MP, Gasston D, Costafreda SG, Suckling J, Williams SC, McGuire PK",Psychopharmacology,0.347,16228196,10.1007/s00213-005-0154-9,-1
verbal fluency_00010,https://pubmed.ncbi.nlm.nih.gov/15109996/,Analysis of neural mechanisms underlying verbal fluency in cytoarchitectonically  defined stereotaxic space--the roles of Brodmann areas 44 and 45.,"Amunts K, Weiss PH, Mohlberg H, Pieperhoff P, Eickhoff S, Gurd JM, Marshall JC, Shah NJ, Fink GR, Zilles K",NeuroImage,0.334,15109996,10.1016/j.neuroimage.2003.12.031,-1
verbal fluency_00011,https://pubmed.ncbi.nlm.nih.gov/16284758/,Comparable fMRI activity with differential behavioural performance on mental rotation and overt verbal fluency tasks in healthy men and women.,"Halari R, Sharma T, Hines M, Andrew C, Simmons A, Kumari V",Experimental brain research,0.327,16284758,-1,-1
verbal fluency_00012,https://pubmed.ncbi.nlm.nih.gov/11578663/,Differential frontal activation in schizophrenia and bipolar illness during verbal fluency.,"Curtis VA, Dixon TA, Morris RG, Bullmore ET, Brammer MJ, Williams SC, Sharma T, Murray RM, McGuire PK",Journal of affective disorders,0.321,11578663,-1,-1
verbal fluency_00013,https://pubmed.ncbi.nlm.nih.gov/12599275/,Developmental aspects of language processing: fMRI of verbal fluency in children  and adults.,"Gaillard WD, Sachs BC, Whitnah JR, Ahmad Z, Balsamo LM, Petrella JR, Braniecki SH, McKinney CM, Hunter K, Xu B, Grandin CB",Human brain mapping,0.305,12599275,-1,-1
verbal fluency_00014,https://pubmed.ncbi.nlm.nih.gov/16823591/,Effect of acute tryptophan depletion on pre-frontal engagement.,"Allen PP, Cleare AJ, Lee F, Fusar-Poli P, Tunstall N, Fu CH, Brammer MJ, McGuire PK",Psychopharmacology,0.305,16823591,-1,-1
