paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
vi_00001,https://pubmed.ncbi.nlm.nih.gov/18819106/,Brain activity during visual versus kinesthetic imagery: an fMRI study.,"Guillot A, Collet C, Nguyen VA, Malouin F, Richards C, Doyon J",Human brain mapping,0.586,18819106,10.1002/hbm.20658,-1
vi_00002,https://pubmed.ncbi.nlm.nih.gov/19168666/,Double dissociation between motor and visual imagery in the posterior parietal cortex.,"Pelgrims B, Andres M, Olivier E","Cerebral cortex (New York, N.Y. : 1991)",0.553,19168666,-1,-1
vi_00003,https://pubmed.ncbi.nlm.nih.gov/12395388/,Medial temporal lobe activation during context-dependent relational processes in  episodic retrieval: an fMRI study. Functional magnetic resonance imaging.,"Tsukiura T, Fujii T, Takahashi T, Xiao R, Sugiura M, Okuda J, Iijima T, Yamadori A",Human brain mapping,0.364,12395388,-1,-1
vi_00004,https://pubmed.ncbi.nlm.nih.gov/22275479/,Remapping the brain to compensate for impairment in recovering alcoholics.,"Chanraud S, Pitel AL, Muller-Oehring EM, Pfefferbaum A, Sullivan EV","Cerebral cortex (New York, N.Y. : 1991)",0.274,22275479,-1,-1
vi_00005,https://pubmed.ncbi.nlm.nih.gov/23674498/,Functional MRI of cerebellar activity during eyeblink classical conditioning in children and adults.,"Cheng DT, Meintjes EM, Stanton ME, Desmond JE, Pienaar M, Dodge NC, Power JM, Molteno CD, Disterhoft JF, Jacobson JL, Jacobson SW",Human brain mapping,0.262,23674498,-1,-1
vi_00006,https://pubmed.ncbi.nlm.nih.gov/20393055/,Evidence of a novel somatopic map in the human neocerebellum during complex actions.,"Schlerf JE, Verstynen TD, Ivry RB, Spencer RM",Journal of neurophysiology,0.257,20393055,-1,-1
vi_00007,https://pubmed.ncbi.nlm.nih.gov/12702705/,Cerebellar responses evoked by nociceptive leg withdrawal reflex as revealed by event-related FMRI.,"Dimitrova A, Kolb FP, Elles HG, Maschke M, Forsting M, Diener HC, Timmann D",Journal of neurophysiology,0.255,12702705,-1,-1
vi_00008,https://pubmed.ncbi.nlm.nih.gov/28192274/,Activity and connectivity of the cerebellum in trigeminal nociception.,"Mehnert J, Schulte L, Timmann D, May A",NeuroImage,0.252,28192274,-1,-1
vi_00009,https://pubmed.ncbi.nlm.nih.gov/22634219/,Involvement of the cerebellar cortex and nuclei in verbal and visuospatial working memory: a 7 T fMRI study.,"Thurling M, Hautzel H, Kuper M, Stefanescu MR, Maderwald S, Ladd ME, Timmann D",NeuroImage,0.249,22634219,-1,-1
vi_00010,https://pubmed.ncbi.nlm.nih.gov/24663383/,Using motor imagery to study the neural substrates of dynamic balance.,"Ferraye MU, Debu B, Heil L, Carpenter M, Bloem BR, Toni I",PloS one,0.241,24663383,-1,-1
