paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
video_00001,https://pubmed.ncbi.nlm.nih.gov/25698962/,Video game training and the reward system.,"Lorenz RC, Gleich T, Gallinat J, Kuhn S",Frontiers in human neuroscience,0.677,25698962,-1,-1
video_00002,https://pubmed.ncbi.nlm.nih.gov/28842270/,Games people play: How video games improve probabilistic learning.,"Schenk S, Lech RK, Suchan B",Behavioural brain research,0.568,28842270,-1,-1
video_00003,https://pubmed.ncbi.nlm.nih.gov/27086318/,Excessive users of violent video games do not show emotional desensitization: an  fMRI study.,"Szycik GR, Mohammadi B, Hake M, Kneer J, Samii A, Munte TF, Te Wildt BT",Brain imaging and behavior,0.498,27086318,-1,-1
video_00004,https://pubmed.ncbi.nlm.nih.gov/23963602/,Supramodal and modality-sensitive representations of perceived action categories  in the human brain.,"Ramsey R, Cross ES, Hamilton AF",Experimental brain research,0.461,23963602,-1,-1
video_00005,https://pubmed.ncbi.nlm.nih.gov/20060111/,Extensive video-game experience alters cortical networks for complex visuomotor transformations.,"Granek JA, Gorbet DJ, Sergio LE",Cortex; a journal devoted to the study of the nervous system and behavior,0.444,20060111,-1,-1
video_00006,https://pubmed.ncbi.nlm.nih.gov/19535615/,Neural correlates of observing pretend play in which one object is represented as another.,"Whitehead C, Marchant JL, Craik D, Frith CD",Social cognitive and affective neuroscience,0.354,19535615,-1,-1
video_00007,https://pubmed.ncbi.nlm.nih.gov/23781195/,Just watching the game ain't enough: striatal fMRI reward responses to successes  and failures in a video game during active and vicarious playing.,"Katsyri J, Hari R, Ravaja N, Nummenmaa L",Frontiers in human neuroscience,0.304,23781195,-1,-1
video_00008,https://pubmed.ncbi.nlm.nih.gov/21741450/,Cortical fMRI activation to opponents' body kinematics in sport-related anticipation: expert-novice differences with normal and point-light video.,"Wright MJ, Bishop DT, Jackson RC, Abernethy B",Neuroscience letters,0.29,21741450,-1,-1
video_00009,https://pubmed.ncbi.nlm.nih.gov/20634975/,Methylphenidate attenuates limbic brain inhibition after cocaine-cues exposure in cocaine abusers.,"Volkow ND, Wang GJ, Tomasi D, Telang F, Fowler JS, Pradhan K, Jayne M, Logan J, Goldstein RZ, Alia-Klein N, Wong C",PloS one,0.268,20634975,-1,-1
video_00010,https://pubmed.ncbi.nlm.nih.gov/23884812/,Reduced spontaneous but relatively normal deliberate vicarious representations in psychopathy.,"Meffert H, Gazzola V, den Boer JA, Bartels AA, Keysers C",Brain : a journal of neurology,0.263,23884812,-1,-1
