paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
vision_00001,https://pubmed.ncbi.nlm.nih.gov/16337921/,Two cortical systems for reaching in central and peripheral vision.,"Prado J, Clavagnier S, Otzenberger H, Scheiber C, Kennedy H, Perenin MT",Neuron,0.397,16337921,10.1016/j.neuron.2005.10.010,-1
vision_00002,https://pubmed.ncbi.nlm.nih.gov/20692350/,Perception of object motion in three-dimensional space induced by cast shadows.,"Katsuyama N, Usui N, Nose I, Taira M",NeuroImage,0.325,20692350,10.1016/j.neuroimage.2010.07.075,-1
vision_00003,https://pubmed.ncbi.nlm.nih.gov/15564587/,Control of attention shifts between vision and audition in human cortex.,"Shomstein S, Yantis S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.314,15564587,10.1523/JNEUROSCI.2939-04.2004,-1
vision_00004,https://pubmed.ncbi.nlm.nih.gov/28066206/,Interplay between Heightened Temporal Variability of Spontaneous Brain Activity and Task-Evoked Hyperactivation in the Blind.,"Dai R, Huang Z, Tu H, Wang L, Tanabe S, Weng X, He S, Li D",Frontiers in human neuroscience,0.288,28066206,10.3389/fnhum.2016.00632,-1
vision_00005,https://pubmed.ncbi.nlm.nih.gov/15681032/,Information processing of geometrical features of a surface based on binocular disparity cues: an fMRI study.,"Naganuma T, Nose I, Inoue K, Takemoto A, Katsuyama N, Taira M",Neuroscience research,0.287,15681032,10.1016/j.neures.2004.10.009,-1
vision_00006,https://pubmed.ncbi.nlm.nih.gov/26026255/,Neural correlates of active vision: An fMRI comparison of natural reading and scene viewing.,"Choi W, Henderson JM",Neuropsychologia,0.285,26026255,10.1016/j.neuropsychologia.2015.05.027,-1
vision_00007,https://pubmed.ncbi.nlm.nih.gov/17990299/,Functional neuroanatomical investigation of vision-related acupuncture point specificity--a multisession fMRI study.,"Kong J, Kaptchuk TJ, Webb JM, Kong JT, Sasaki Y, Polich GR, Vangel MG, Kwong K, Rosen B, Gollub RL",Human brain mapping,0.276,17990299,10.1002/hbm.20481,-1
vision_00008,https://pubmed.ncbi.nlm.nih.gov/22197696/,Tempo-spatial analysis of vision-related acupoint specificity in the occipital lobe using fMRI: an ICA study.,"Dong M, Qin W, Sun J, Liu P, Yuan K, Liu J, Zhou G, von Deneen KM, Tian J",Brain research,0.271,22197696,10.1016/j.brainres.2011.11.050,-1
vision_00009,https://pubmed.ncbi.nlm.nih.gov/15238438/,Right temporoparietal cortex activation during visuo-proprioceptive conflict.,"Balslev D, Nielsen FA, Paulson OB, Law I","Cerebral cortex (New York, N.Y. : 1991)",0.269,15238438,10.1093/cercor/bhh119,-1
vision_00010,https://pubmed.ncbi.nlm.nih.gov/19662659/,Dissecting structure-function interactions in acute optic neuritis to investigate neuroplasticity.,"Jenkins T, Ciccarelli O, Toosy A, Miszkiel K, Wheeler-Kingshott C, Altmann D, Mancini L, Jones S, Plant G, Miller D, Thompson A",Human brain mapping,0.24,19662659,-1,-1
vision_00011,https://pubmed.ncbi.nlm.nih.gov/24650604/,Are visual texture-selective areas recruited during haptic texture discrimination?,"Podrebarac SK, Goodale MA, Snow JC",NeuroImage,0.238,24650604,-1,-1
vision_00012,https://pubmed.ncbi.nlm.nih.gov/15846772/,Voxel-based analysis of MRI detects abnormal visual cortex in children and adults with amblyopia.,"Mendola JD, Conner IP, Roy A, Chan ST, Schwartz TL, Odom JV, Kwong KK",Human brain mapping,0.233,15846772,-1,-1
vision_00013,https://pubmed.ncbi.nlm.nih.gov/23032487/,Vision holds a greater share in visuo-haptic object recognition than touch.,"Kassuba T, Klinge C, Holig C, Roder B, Siebner HR",NeuroImage,0.231,23032487,-1,-1
vision_00014,https://pubmed.ncbi.nlm.nih.gov/27512990/,Altered Vision-Related Resting-State Activity in Pituitary Adenoma Patients with  Visual Damage.,"Qian H, Wang X, Wang Z, Wang Z, Liu P",PloS one,0.227,27512990,-1,-1
vision_00015,https://pubmed.ncbi.nlm.nih.gov/23785160/,Amygdala activation for eye contact despite complete cortical blindness.,"Burra N, Hervais-Adelman A, Kerzel D, Tamietto M, de Gelder B, Pegna AJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.225,23785160,-1,-1
vision_00016,https://pubmed.ncbi.nlm.nih.gov/22937041/,Altered spontaneous activity in anisometropic amblyopia subjects: revealed by resting-state FMRI.,"Lin X, Ding K, Liu Y, Yan X, Song S, Jiang T",PloS one,0.213,22937041,-1,-1
vision_00017,https://pubmed.ncbi.nlm.nih.gov/17596454/,Activity in the posterior parietal cortex mediates visual dominance over kinesthesia.,"Hagura N, Takei T, Hirose S, Aramaki Y, Matsumura M, Sadato N, Naito E",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.204,17596454,-1,-1
vision_00018,https://pubmed.ncbi.nlm.nih.gov/11784773/,Adaptive changes in early and late blind: a fMRI study of Braille reading.,"Burton H, Snyder AZ, Conturo TE, Akbudak E, Ollinger JM, Raichle ME",Journal of neurophysiology,0.201,11784773,-1,-1
vision_00019,https://pubmed.ncbi.nlm.nih.gov/22483742/,Activation of the hippocampal complex during tactile maze solving in congenitally blind subjects.,"Gagnon L, Schneider FC, Siebner HR, Paulson OB, Kupers R, Ptito M",Neuropsychologia,0.2,22483742,-1,-1
vision_00020,https://pubmed.ncbi.nlm.nih.gov/18448452/,The human dorsal action control system develops in the absence of vision.,"Fiehler K, Burke M, Bien S, Roder B, Rosler F","Cerebral cortex (New York, N.Y. : 1991)",0.198,18448452,-1,-1
vision_00021,https://pubmed.ncbi.nlm.nih.gov/22819967/,Anatomical and functional enhancements of the insula after loss of large primary  somatosensory fibers.,"Ceko M, Seminowicz DA, Bushnell MC, Olausson HW","Cerebral cortex (New York, N.Y. : 1991)",0.19,22819967,10.1093/cercor/bhs157,-1
vision_00022,https://pubmed.ncbi.nlm.nih.gov/11566313/,Spatial attention and crossmodal interactions between vision and touch.,"Macaluso E, Driver J",Neuropsychologia,0.189,11566313,10.1016/s0028-3932(01)00119-1,-1
vision_00023,https://pubmed.ncbi.nlm.nih.gov/25057211/,The brain network underlying the recognition of hand gestures in the blind: the supramodal role of the extrastriate body area.,"Kitada R, Yoshihara K, Sasaki AT, Hashiguchi M, Kochiyama T, Sadato N",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.188,25057211,10.1523/JNEUROSCI.0500-14.2014,-1
vision_00024,https://pubmed.ncbi.nlm.nih.gov/23287527/,Early visual and auditory processing rely on modality-specific attentional resources.,"Keitel C, Maess B, Schroger E, Muller MM",NeuroImage,0.186,23287527,10.1016/j.neuroimage.2012.12.046,-1
vision_00025,https://pubmed.ncbi.nlm.nih.gov/17116311/,Pattern recognition using a device substituting audition for vision in blindfolded sighted subjects.,"Poirier C, De Volder A, Tranduy D, Scheiber C",Neuropsychologia,0.18,17116311,10.1016/j.neuropsychologia.2006.09.018,-1
vision_00026,https://pubmed.ncbi.nlm.nih.gov/14681333/,Body scheme gates visual processing.,"Dohle C, Kleiser R, Seitz RJ, Freund HJ",Journal of neurophysiology,0.174,14681333,10.1152/jn.00929.2003,-1
vision_00027,https://pubmed.ncbi.nlm.nih.gov/17034034/,Imaging brain activity during natural vision using CASL perfusion fMRI.,"Rao H, Wang J, Tang K, Pan W, Detre JA",Human brain mapping,0.173,17034034,-1,-1
vision_00028,https://pubmed.ncbi.nlm.nih.gov/10805701/,Selective spatial attention in vision and touch: unimodal and multimodal mechanisms revealed by PET.,"Macaluso E, Frith C, Driver J",Journal of neurophysiology,0.172,10805701,-1,-1
vision_00029,https://pubmed.ncbi.nlm.nih.gov/11884351/,Directing attention to locations and to sensory modalities: multiple levels of selective processing revealed with PET.,"Macaluso E, Frith CD, Driver J","Cerebral cortex (New York, N.Y. : 1991)",0.172,11884351,-1,-1
vision_00030,https://pubmed.ncbi.nlm.nih.gov/26019336/,Abnormal contrast responses in the extrastriate cortex of blindsight patients.,"Ajina S, Rees G, Kennard C, Bridge H",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.171,26019336,-1,-1
vision_00031,https://pubmed.ncbi.nlm.nih.gov/18823255/,Functional specialization and convergence in the occipito-temporal cortex supporting haptic and visual identification of human faces and body parts: an fMRI study.,"Kitada R, Johnsrude IS, Kochiyama T, Lederman SJ",Journal of cognitive neuroscience,0.163,18823255,-1,-1
vision_00032,https://pubmed.ncbi.nlm.nih.gov/23859643/,Blue light stimulates cognitive brain activity in visually blind individuals.,"Vandewalle G, Collignon O, Hull JT, Daneault V, Albouy G, Lepore F, Phillips C, Doyon J, Czeisler CA, Dumont M, Lockley SW, Carrier J",Journal of cognitive neuroscience,0.162,23859643,-1,-1
vision_00033,https://pubmed.ncbi.nlm.nih.gov/18783380/,Empathic neural reactivity to noxious stimuli delivered to body parts and non-corporeal objects.,"Costantini M, Galati G, Romani GL, Aglioti SM",The European journal of neuroscience,0.161,18783380,-1,-1
vision_00034,https://pubmed.ncbi.nlm.nih.gov/21458471/,Neural correlates of olfactory processing in congenital blindness.,"Kupers R, Beaulieu-Lefebvre M, Schneider FC, Kassuba T, Paulson OB, Siebner HR, Ptito M",Neuropsychologia,0.161,21458471,-1,-1
vision_00035,https://pubmed.ncbi.nlm.nih.gov/25571770/,Visual imagery influences brain responses to visual stimulation in bilateral cortical blindness.,"de Gelder B, Tamietto M, Pegna AJ, Van den Stock J",Cortex; a journal devoted to the study of the nervous system and behavior,0.157,25571770,-1,-1
vision_00036,https://pubmed.ncbi.nlm.nih.gov/24680867/,Spatial variability of functional brain networks in early-blind and sighted subjects.,"Boldt R, Seppa M, Malinen S, Tikka P, Hari R, Carlson S",NeuroImage,0.151,24680867,-1,-1
vision_00037,https://pubmed.ncbi.nlm.nih.gov/19643122/,Low- and high-level motion perception deficits in anisometropic and strabismic amblyopia: evidence from fMRI.,"Ho CS, Giaschi DE",Vision research,0.149,19643122,-1,-1
vision_00038,https://pubmed.ncbi.nlm.nih.gov/18448649/,Perceptuo-motor interactions during prehension movements.,"Verhagen L, Dijkerman HC, Grol MJ, Toni I",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.148,18448649,-1,-1
vision_00039,https://pubmed.ncbi.nlm.nih.gov/24040007/,Human fMRI reveals that delayed action re-recruits visual perception.,"Singhal A, Monaco S, Kaufman LD, Culham JC",PloS one,0.147,24040007,-1,-1
vision_00040,https://pubmed.ncbi.nlm.nih.gov/22484310/,Learning piano melodies in visuo-motor or audio-motor training conditions and the neural correlates of their cross-modal transfer.,"Engel A, Bangert M, Horbank D, Hijmans BS, Wilkens K, Keller PE, Keysers C",NeuroImage,0.145,22484310,-1,-1
vision_00041,https://pubmed.ncbi.nlm.nih.gov/19396362/,Activation of the left inferior frontal gyrus in the first 200 ms of reading: evidence from magnetoencephalography (MEG).,"Cornelissen PL, Kringelbach ML, Ellis AW, Whitney C, Holliday IE, Hansen PC",PloS one,0.14,19396362,10.1371/journal.pone.0005359,-1
vision_00042,https://pubmed.ncbi.nlm.nih.gov/16014866/,Mistaking a house for a face: neural correlates of misperception in healthy humans.,"Summerfield C, Egner T, Mangels J, Hirsch J","Cerebral cortex (New York, N.Y. : 1991)",0.134,16014866,10.1093/cercor/bhi129,-1
vision_00043,https://pubmed.ncbi.nlm.nih.gov/23419940/,Functional brain imaging of multi-sensory vestibular processing during computerized dynamic posturography using near-infrared spectroscopy.,"Karim H, Fuhrman SI, Sparto P, Furman J, Huppert T",NeuroImage,0.134,23419940,10.1016/j.neuroimage.2013.02.010,-1
vision_00044,https://pubmed.ncbi.nlm.nih.gov/9990082/,Covariation of activity in visual and prefrontal cortex associated with subjective visual perception.,"Lumer ED, Rees G",Proceedings of the National Academy of Sciences of the United States of America,0.131,9990082,10.1073/pnas.96.4.1669,-1
vision_00045,https://pubmed.ncbi.nlm.nih.gov/25100582/,Attention-dependent early cortical suppression contributes to crowding.,"Chen J, He Y, Zhu Z, Zhou T, Peng Y, Zhang X, Fang F",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.13,25100582,10.1523/JNEUROSCI.1140-14.2014,-1
vision_00046,https://pubmed.ncbi.nlm.nih.gov/26500523/,A task-independent neural representation of subjective certainty in visual perception.,"Heereman J, Walter H, Heekeren HR",Frontiers in human neuroscience,0.129,26500523,-1,-1
vision_00047,https://pubmed.ncbi.nlm.nih.gov/15246450/,Lateral visual field stimulation reveals extrastriate cortical activation in the  contralateral hemisphere: an fMRI study.,"Schiffer F, Mottaghy FM, Pandey Vimal RL, Renshaw PF, Cowan R, Pascual-Leone A, Teicher M, Valente E, Rohan M",Psychiatry research,0.125,15246450,-1,-1
vision_00048,https://pubmed.ncbi.nlm.nih.gov/23947986/,Failure in developing high-level visual functions after occipitoparietal lesions  at an early age: a case study.,"Hu S, Jin H, Chen Z, Mo L, Liu J",Cortex; a journal devoted to the study of the nervous system and behavior,0.124,23947986,-1,-1
vision_00049,https://pubmed.ncbi.nlm.nih.gov/29061700/,Development of the Visual Word Form Area Requires Visual Experience: Evidence from Blind Braille Readers.,"Kim JS, Kanjlia S, Merabet LB, Bedny M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.123,29061700,-1,-1
vision_00050,https://pubmed.ncbi.nlm.nih.gov/18480270/,Visual Motion Area MT+/V5 Responds to Auditory Motion in Human Sight-Recovery Subjects.,"Saenz M, Lewis LB, Huth AG, Fine I, Koch C",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.122,18480270,-1,-1
vision_00051,https://pubmed.ncbi.nlm.nih.gov/21922603/,Seeing with the eyes shut: neural basis of enhanced imagery following Ayahuasca ingestion.,"de Araujo DB, Ribeiro S, Cecchi GA, Carvalho FM, Sanchez TA, Pinto JP, de Martinis BS, Crippa JA, Hallak JE, Santos AC",Human brain mapping,0.122,21922603,-1,-1
vision_00052,https://pubmed.ncbi.nlm.nih.gov/19018279/,The neural basis of object-context relationships on aesthetic judgment.,Kirk U,PloS one,0.121,19018279,-1,-1
vision_00053,https://pubmed.ncbi.nlm.nih.gov/25763841/,Functional characteristics of the brain in college students with internet gaming  disorder.,"Liu J, Li W, Zhou S, Zhang L, Wang Z, Zhang Y, Jiang Y, Li L",Brain imaging and behavior,0.12,25763841,-1,-1
vision_00054,https://pubmed.ncbi.nlm.nih.gov/21310653/,Functional imaging of sleep vertex sharp transients.,"Stern JM, Caporro M, Haneef Z, Yeh HJ, Buttinelli C, Lenartowicz A, Mumford JA, Parvizi J, Poldrack RA",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.118,21310653,-1,-1
vision_00055,https://pubmed.ncbi.nlm.nih.gov/21932260/,Cross auditory-spatial learning in early-blind individuals.,"Chan CC, Wong AW, Ting KH, Whitfield-Gabrieli S, He J, Lee TM",Human brain mapping,0.118,21932260,-1,-1
vision_00056,https://pubmed.ncbi.nlm.nih.gov/25162716/,Structural and functional brain changes beyond visual system in patients with advanced glaucoma.,"Frezzotti P, Giorgio A, Motolese I, De Leucio A, Iester M, Motolese E, Federico A, De Stefano N",PloS one,0.118,25162716,-1,-1
vision_00057,https://pubmed.ncbi.nlm.nih.gov/20413448/,Neural correlates and effective connectivity of subjective colors during the Benham's top illusion: a functional MRI study.,"Tanabe HC, Sakai T, Morito Y, Kochiyama T, Sadato N","Cerebral cortex (New York, N.Y. : 1991)",0.117,20413448,-1,-1
vision_00058,https://pubmed.ncbi.nlm.nih.gov/25575449/,"Spatial imagery relies on a sensory independent, though sensory sensitive, functional organization within the parietal cortex: A fMRI study of angle discrimination in sighted and congenitally blind in","Bonino D, Ricciardi E, Bernardi G, Sani L, Gentili C, Vecchi T, Pietrini P",Neuropsychologia,0.117,25575449,-1,-1
vision_00059,https://pubmed.ncbi.nlm.nih.gov/15166105/,Control of object-based attention in human cortex.,"Serences JT, Schwarzbach J, Courtney SM, Golay X, Yantis S","Cerebral cortex (New York, N.Y. : 1991)",0.115,15166105,10.1093/cercor/bhh095,-1
vision_00060,https://pubmed.ncbi.nlm.nih.gov/20869449/,The BOLD correlates of the visual P1 and N1 in single-trial analysis of simultaneous EEG-fMRI recordings during a spatial detection task.,"Novitskiy N, Ramautar JR, Vanderperren K, De Vos M, Mennes M, Mijovic B, Vanrumste B, Stiers P, Van den Bergh B, Lagae L, Sunaert S, Van Huffel S, Wagemans J",NeuroImage,0.115,20869449,10.1016/j.neuroimage.2010.09.041,-1
vision_00061,https://pubmed.ncbi.nlm.nih.gov/29159044/,A key role of the prefrontal cortex in the maintenance of chronic tinnitus: An fMRI study using a Stroop task.,"Araneda R, Renier L, Dricot L, Decat M, Ebner-Karestinos D, Deggouj N, De Volder AG",NeuroImage. Clinical,0.115,29159044,-1,-1
vision_00062,https://pubmed.ncbi.nlm.nih.gov/18316728/,Language affects patterns of brain activation associated with perceptual decision.,"Tan LH, Chan AH, Kay P, Khong PL, Yip LK, Luke KK",Proceedings of the National Academy of Sciences of the United States of America,0.113,18316728,-1,-1
vision_00063,https://pubmed.ncbi.nlm.nih.gov/18023824/,Neural substrates of processing path and manner information of a moving event.,"Wu DH, Morganti A, Chatterjee A",Neuropsychologia,0.108,18023824,-1,-1
vision_00064,https://pubmed.ncbi.nlm.nih.gov/23507379/,Neurometrics of intrinsic connectivity networks at rest using fMRI: retest reliability and cross-validation using a meta-level method.,"Wisner KM, Atluri G, Lim KO, Macdonald AW 3rd",NeuroImage,0.105,23507379,-1,-1
vision_00065,https://pubmed.ncbi.nlm.nih.gov/9256495/,Pattern of neuronal activity associated with conscious and unconscious processing of visual signals.,"Sahraie A, Weiskrantz L, Barbur JL, Simmons A, Williams SC, Brammer MJ",Proceedings of the National Academy of Sciences of the United States of America,0.104,9256495,-1,-1
vision_00066,https://pubmed.ncbi.nlm.nih.gov/17089375/,Eye position-dependent activity in the primary visual area as revealed by fMRI.,"Andersson F, Joliot M, Perchey G, Petit L",Human brain mapping,0.104,17089375,-1,-1
vision_00067,https://pubmed.ncbi.nlm.nih.gov/23904613/,Structural and functional changes across the visual cortex of a patient with visual form agnosia.,"Bridge H, Thomas OM, Minini L, Cavina-Pratesi C, Milner AD, Parker AJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.104,23904613,-1,-1
vision_00068,https://pubmed.ncbi.nlm.nih.gov/21953980/,Audiovisual synchrony enhances BOLD responses in a brain network including multisensory STS while also enhancing target-detection performance for both modalities.,"Marchant JL, Ruff CC, Driver J",Human brain mapping,0.103,21953980,-1,-1
vision_00069,https://pubmed.ncbi.nlm.nih.gov/18973604/,Color responses of the human lateral geniculate nucleus: [corrected] selective amplification of S-cone signals between the lateral geniculate nucleno and primary visual cortex measured with high-field,"Mullen KT, Dumoulin SO, Hess RF",The European journal of neuroscience,0.102,18973604,-1,-1
vision_00070,https://pubmed.ncbi.nlm.nih.gov/19400684/,Spatial attention evokes similar activation patterns for visual and auditory stimuli.,"Smith DV, Davis B, Niu K, Healy EW, Bonilha L, Fridriksson J, Morgan PS, Rorden C",Journal of cognitive neuroscience,0.101,19400684,-1,-1
vision_00071,https://pubmed.ncbi.nlm.nih.gov/22508766/,Visual and audiovisual effects of isochronous timing on visual perception and brain activity.,"Marchant JL, Driver J","Cerebral cortex (New York, N.Y. : 1991)",0.1,22508766,-1,-1
vision_00072,https://pubmed.ncbi.nlm.nih.gov/11322986/,Sustained extrastriate cortical activation without visual awareness revealed by fMRI studies of hemianopic patients.,"Goebel R, Muckli L, Zanella FE, Singer W, Stoerig P",Vision research,0.099,11322986,-1,-1
vision_00073,https://pubmed.ncbi.nlm.nih.gov/27458357/,Early Blindness Results in Developmental Plasticity for Auditory Motion Processing within Auditory and Occipital Cortex.,"Jiang F, Stecker GC, Boynton GM, Fine I",Frontiers in human neuroscience,0.099,27458357,-1,-1
vision_00074,https://pubmed.ncbi.nlm.nih.gov/15579169/,Is there a role of visual cortex in spatial hearing?,"Zimmer U, Lewald J, Erb M, Grodd W, Karnath HO",The European journal of neuroscience,0.097,15579169,-1,-1
vision_00075,https://pubmed.ncbi.nlm.nih.gov/15976077/,Perceptual fusion and stimulus coincidence in the cross-modal integration of speech.,"Miller LM, D'Esposito M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.097,15976077,10.1523/JNEUROSCI.0896-05.2005,-1
vision_00076,https://pubmed.ncbi.nlm.nih.gov/23904213/,Inter-individual differences in audio-motor learning of piano melodies and white  matter fiber tract architecture.,"Engel A, Hijmans BS, Cerliani L, Bangert M, Nanetti L, Keller PE, Keysers C",Human brain mapping,0.097,23904213,10.1002/hbm.22343,-1
vision_00077,https://pubmed.ncbi.nlm.nih.gov/25717289/,Resting-state functional connectivity and pitch identification ability in non-musicians.,"Hou J, Chen C, Dong Q",Frontiers in neuroscience,0.097,25717289,10.3389/fnins.2015.00007,-1
vision_00078,https://pubmed.ncbi.nlm.nih.gov/26892858/,Hand gestures as visual prosody: BOLD responses to audio-visual alignment are modulated by the communicative nature of the stimuli.,"Biau E, Moris Fernandez L, Holle H, Avila C, Soto-Faraco S",NeuroImage,0.094,26892858,10.1016/j.neuroimage.2016.02.018,-1
vision_00079,https://pubmed.ncbi.nlm.nih.gov/27148002/,Tactile Object Familiarity in the Blind Brain Reveals the Supramodal Perceptual-Mnemonic Nature of the Perirhinal Cortex.,"Cacciamani L, Likova LT",Frontiers in human neuroscience,0.094,27148002,-1,-1
vision_00080,https://pubmed.ncbi.nlm.nih.gov/12354405/,Brain Areas Active during Visual Perception of Biological Motion.,"Grossman ED, Blake R",Neuron,0.093,12354405,-1,-1
vision_00081,https://pubmed.ncbi.nlm.nih.gov/19352638/,"An additive-factors design to disambiguate neuronal and areal convergence: measuring multisensory interactions between audio, visual, and haptic sensory streams using fMRI.","Stevenson RA, Kim S, James TW",Experimental brain research,0.093,19352638,-1,-1
vision_00082,https://pubmed.ncbi.nlm.nih.gov/19770059/,Brain networks involved in haptic and visual identification of facial expressions of emotion: an fMRI study.,"Kitada R, Johnsrude IS, Kochiyama T, Lederman SJ",NeuroImage,0.093,19770059,-1,-1
vision_00083,https://pubmed.ncbi.nlm.nih.gov/18033768/,Where vision meets memory: prefrontal-posterior networks for visual object constancy during categorization and recognition.,"Schendan HE, Stern CE","Cerebral cortex (New York, N.Y. : 1991)",0.09,18033768,-1,-1
vision_00084,https://pubmed.ncbi.nlm.nih.gov/19830683/,Enhanced effectiveness in visuo-haptic object-selective brain regions with increasing stimulus salience.,"Kim S, James TW",Human brain mapping,0.09,19830683,-1,-1
