paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
visual attention_00001,https://pubmed.ncbi.nlm.nih.gov/20739053/,Superior parietal lobule dysfunction in a homogeneous group of dyslexic children  with a visual attention span disorder.,"Peyrin C, Demonet JF, N'Guyen-Morel MA, Le Bas JF, Valdois S",Brain and language,0.252,20739053,10.1016/j.bandl.2010.06.005,-1
visual attention_00002,https://pubmed.ncbi.nlm.nih.gov/29662444/,Distinctive Correspondence Between Separable Visual Attention Functions and Intrinsic Brain Networks.,"Ruiz-Rizzo AL, Neitzel J, Muller HJ, Sorg C, Finke K",Frontiers in human neuroscience,0.251,29662444,10.3389/fnhum.2018.00089,-1
visual attention_00003,https://pubmed.ncbi.nlm.nih.gov/15459082/,Cognitive control involved in overcoming prepotent response tendencies and switching between tasks.,"Barber AD, Carter CS","Cerebral cortex (New York, N.Y. : 1991)",0.223,15459082,10.1093/cercor/bhh189,-1
visual attention_00004,https://pubmed.ncbi.nlm.nih.gov/19349237/,Hyperstimulation of striatal D2 receptors with sleep deprivation: Implications for cognitive impairment.,"Volkow ND, Tomasi D, Wang GJ, Telang F, Fowler JS, Wang RL, Logan J, Wong C, Jayne M, Swanson JM",NeuroImage,0.216,19349237,10.1016/j.neuroimage.2009.01.003,-1
visual attention_00005,https://pubmed.ncbi.nlm.nih.gov/25173075/,Human thalamic and amygdala modulation in emotional scene perception.,"Frank DW, Sabatinelli D",Brain research,0.208,25173075,10.1016/j.brainres.2014.08.061,-1
visual attention_00006,https://pubmed.ncbi.nlm.nih.gov/23270676/,Role of the superior parietal lobules in letter-identity processing within strings: FMRI evidence from skilled and dyslexic readers.,"Reilhac C, Peyrin C, Demonet JF, Valdois S",Neuropsychologia,0.203,23270676,10.1016/j.neuropsychologia.2012.12.010,-1
visual attention_00007,https://pubmed.ncbi.nlm.nih.gov/26441595/,Altered connectivity of the dorsal and ventral visual regions in dyslexic children: a resting-state fMRI study.,"Zhou W, Xia Z, Bi Y, Shu H",Frontiers in human neuroscience,0.195,26441595,10.3389/fnhum.2015.00495,-1
visual attention_00008,https://pubmed.ncbi.nlm.nih.gov/18945600/,Atrophy and decreased activation of fronto-parietal attention areas contribute to higher visual dysfunction in posterior cortical atrophy.,"Feldmann A, Trauninger A, Toth L, Kotek G, Kosztolanyi P, Illes E, Pfund Z, Komoly S, Nagy F, Illes Z",Psychiatry research,0.188,18945600,10.1016/j.pscychresns.2008.01.006,-1
visual attention_00009,https://pubmed.ncbi.nlm.nih.gov/21784164/,Sustained gamma band synchronization in early visual areas reflects the level of  selective attention.,"Kahlbrock N, Butz M, May ES, Schnitzler A",NeuroImage,0.188,21784164,10.1016/j.neuroimage.2011.07.017,-1
visual attention_00010,https://pubmed.ncbi.nlm.nih.gov/24802381/,"Shared vs. specific brain activation changes in dyslexia after training of phonology, attention, or reading.","Heim S, Pape-Neumann J, van Ermingen-Marbach M, Brinkhaus M, Grande M",Brain structure & function,0.185,24802381,10.1007/s00429-014-0784-y,-1
visual attention_00011,https://pubmed.ncbi.nlm.nih.gov/23645721/,Functional Connectivity and Brain Activation: A Synergistic Approach.,"Tomasi D, Wang R, Wang GJ, Volkow ND","Cerebral cortex (New York, N.Y. : 1991)",0.184,23645721,10.1093/cercor/bht119,-1
visual attention_00012,https://pubmed.ncbi.nlm.nih.gov/19349245/,Neural systems of visual attention responding to emotional gestures.,"Flaisch T, Schupp HT, Renner B, Junghofer M",NeuroImage,0.176,19349245,10.1016/j.neuroimage.2008.12.073,-1
visual attention_00013,https://pubmed.ncbi.nlm.nih.gov/17990302/,Precise discrimination of object position in the human pulvinar.,"Fischer J, Whitney D",Human brain mapping,0.169,17990302,10.1002/hbm.20485,-1
visual attention_00014,https://pubmed.ncbi.nlm.nih.gov/21331518/,Nicotine effects on default mode network during resting state.,"Tanabe J, Nyberg E, Martin LF, Martin J, Cordes D, Kronberg E, Tregellas JR",Psychopharmacology,0.169,21331518,10.1007/s00213-011-2221-8,-1
visual attention_00015,https://pubmed.ncbi.nlm.nih.gov/25498391/,Visual attention in preterm born adults: Specifically impaired attentional sub-mechanisms that link with altered intrinsic brain networks in a compensation-like mode.,"Finke K, Neitzel J, Bauml JG, Redel P, Muller HJ, Meng C, Jaekel J, Daamen M, Scheef L, Busch B, Baumann N, Boecker H, Bartmann P, Habekost T, Wolke D, Wohlschlager A, Sorg C",NeuroImage,0.167,25498391,-1,-1
visual attention_00016,https://pubmed.ncbi.nlm.nih.gov/27975158/,Compensatory increase of functional connectivity density in adolescents with internet gaming disorder.,"Du X, Yang Y, Gao P, Qi X, Du G, Zhang Y, Li X, Zhang Q",Brain imaging and behavior,0.167,27975158,-1,-1
visual attention_00017,https://pubmed.ncbi.nlm.nih.gov/15028641/,"Task-independent and task-specific age effects on brain activity during working memory, visual attention and episodic retrieval.","Cabeza R, Daselaar SM, Dolcos F, Prince SE, Budde M, Nyberg L","Cerebral cortex (New York, N.Y. : 1991)",0.166,15028641,-1,-1
visual attention_00018,https://pubmed.ncbi.nlm.nih.gov/22357860/,Visuotopic cortical connectivity underlying attention revealed with white-matter  tractography.,"Greenberg AS, Verstynen T, Chiu YC, Yantis S, Schneider W, Behrmann M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.164,22357860,-1,-1
visual attention_00019,https://pubmed.ncbi.nlm.nih.gov/24688465/,"Topological organization of the ""small-world"" visual attention network in children with attention deficit/hyperactivity disorder (ADHD).","Xia S, Foxe JJ, Sroubek AE, Branch C, Li X",Frontiers in human neuroscience,0.161,24688465,-1,-1
visual attention_00020,https://pubmed.ncbi.nlm.nih.gov/25613405/,Overlapping neural circuits for visual attention and eye movements in the human cerebellum.,"Striemer CL, Chouinard PA, Goodale MA, de Ribaupierre S",Neuropsychologia,0.157,25613405,-1,-1
visual attention_00021,https://pubmed.ncbi.nlm.nih.gov/25205663/,Top-down Modulation of Neural Activity in Anticipatory Visual Attention: Control  Mechanisms Revealed by Simultaneous EEG-fMRI.,"Liu Y, Bengson J, Huang H, Mangun GR, Ding M","Cerebral cortex (New York, N.Y. : 1991)",0.156,25205663,10.1093/cercor/bhu204,-1
visual attention_00022,https://pubmed.ncbi.nlm.nih.gov/20678494/,Differences in cerebral activation during perception of optokinetic computer stimuli and video clips of living animals: an fMRI study.,"Bottger S, Haberl R, Prosiegel M, Audebert H, Rumberg B, Forsting M, Gizewski ER",Brain research,0.155,20678494,10.1016/j.brainres.2010.07.056,-1
visual attention_00023,https://pubmed.ncbi.nlm.nih.gov/26257628/,Linking inter-individual differences in the perceptual load effect to spontaneous brain activity.,"Liu L, Tan J, Chen A",Frontiers in human neuroscience,0.153,26257628,10.3389/fnhum.2015.00409,-1
visual attention_00024,https://pubmed.ncbi.nlm.nih.gov/28775679/,Heidelberg Neuro-Music Therapy Restores Attention-Related Activity in the Angular Gyrus in Chronic Tinnitus Patients.,"Krick CM, Argstatter H, Grapp M, Plinkert PK, Reith W",Frontiers in neuroscience,0.153,28775679,10.3389/fnins.2017.00418,-1
visual attention_00025,https://pubmed.ncbi.nlm.nih.gov/27391013/,Coupling between Theta Oscillations and Cognitive Control Network during Cross-Modal Visual and Auditory Attention: Supramodal vs Modality-Specific Mechanisms.,"Wang W, Viswanathan S, Lee T, Grafton ST",PloS one,0.152,27391013,10.1371/journal.pone.0158465,-1
visual attention_00026,https://pubmed.ncbi.nlm.nih.gov/17582746/,Thalamo-cortical dysfunction in cocaine abusers: implications in attention and perception.,"Tomasi D, Goldstein RZ, Telang F, Maloney T, Alia-Klein N, Caparelli EC, Volkow ND",Psychiatry research,0.149,17582746,10.1016/j.pscychresns.2007.03.002,-1
visual attention_00027,https://pubmed.ncbi.nlm.nih.gov/16407540/,Parietal cortex mediates voluntary control of spatial and nonspatial auditory attention.,"Shomstein S, Yantis S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.147,16407540,10.1523/JNEUROSCI.4408-05.2006,-1
visual attention_00028,https://pubmed.ncbi.nlm.nih.gov/17204433/,Human brain activity associated with audiovisual perception and attention.,"Degerman A, Rinne T, Pekkola J, Autti T, Jaaskelainen IP, Sams M, Alho K",NeuroImage,0.146,17204433,10.1016/j.neuroimage.2006.11.019,-1
visual attention_00029,https://pubmed.ncbi.nlm.nih.gov/21917804/,The decision value computations in the vmPFC and striatum use a relative value code that is guided by visual attention.,"Lim SL, O'Doherty JP, Rangel A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.141,21917804,10.1523/JNEUROSCI.1246-11.2011,-1
visual attention_00030,https://pubmed.ncbi.nlm.nih.gov/22285025/,Neural dissociation of phonological and visual attention span disorders in developmental dyslexia: FMRI evidence from two case reports.,"Peyrin C, Lallier M, Demonet JF, Pernet C, Baciu M, Le Bas JF, Valdois S",Brain and language,0.137,22285025,10.1016/j.bandl.2011.12.015,-1
visual attention_00031,https://pubmed.ncbi.nlm.nih.gov/16585053/,Marijuana use is associated with a reorganized visual-attention network and cerebellar hypoactivation.,"Chang L, Yakupov R, Cloak C, Ernst T",Brain : a journal of neurology,0.135,16585053,10.1093/brain/awl064,-1
visual attention_00032,https://pubmed.ncbi.nlm.nih.gov/17963797/,Systemizing influences attentional processes during the Navon task: an fMRI study.,"Billington J, Baron-Cohen S, Bor D",Neuropsychologia,0.13,17963797,10.1016/j.neuropsychologia.2007.09.003,-1
visual attention_00033,https://pubmed.ncbi.nlm.nih.gov/22114080/,Culture-related differences in default network activity during visuo-spatial judgments.,"Goh JO, Hebrank AC, Sutton BP, Chee MW, Sim SK, Park DC",Social cognitive and affective neuroscience,0.129,22114080,10.1093/scan/nsr077,-1
visual attention_00034,https://pubmed.ncbi.nlm.nih.gov/24478680/,Linking neuroscientific research on decision making to the educational context of novice students assigned to a multiple-choice scientific task involving common misconceptions about electrical circuit,"Potvin P, Turmel E, Masson S",Frontiers in human neuroscience,0.128,24478680,10.3389/fnhum.2014.00014,-1
visual attention_00035,https://pubmed.ncbi.nlm.nih.gov/12408855/,Cognitive mechanisms of nicotine on visual attention.,"Lawrence NS, Ross TJ, Stein EA",Neuron,0.125,12408855,10.1016/s0896-6273(02)01004-8,-1
