paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
visual_00001,https://pubmed.ncbi.nlm.nih.gov/26209358/,Which visual functions depend on intermediate visual regions? Insights from a case of developmental visual form agnosia.,Gilaie-Dotan S,Neuropsychologia,0.658,26209358,-1,-1
visual_00002,https://pubmed.ncbi.nlm.nih.gov/15893941/,Two distinct neural effects of blinking on human visual processing.,"Bristow D, Frith C, Rees G",NeuroImage,0.524,15893941,-1,-1
visual_00003,https://pubmed.ncbi.nlm.nih.gov/20849925/,Localizing sensory and cognitive systems for pre-attentive visual deviance detection: an sLORETA analysis of the data of Kimura et al. (2009).,"Kimura M, Ohira H, Schroger E",Neuroscience letters,0.511,20849925,-1,-1
visual_00004,https://pubmed.ncbi.nlm.nih.gov/29066555/,Recruitment of Foveal Retinotopic Cortex During Haptic Exploration of Shapes and  Actions in the Dark.,"Monaco S, Gallivan JP, Figley TD, Singhal A, Culham JC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.461,29066555,-1,-1
visual_00005,https://pubmed.ncbi.nlm.nih.gov/10639391/,Visual function and brain organization in non-decussating retinal-fugal fibre syndrome.,"Victor JD, Apkarian P, Hirsch J, Conte MM, Packard M, Relkin NR, Kim KH, Shapley RM","Cerebral cortex (New York, N.Y. : 1991)",0.459,10639391,-1,-1
visual_00006,https://pubmed.ncbi.nlm.nih.gov/28592696/,Visual Working Memory Enhances the Neural Response to Matching Visual Input.,"Gayet S, Guggenmos M, Christophel TB, Haynes JD, Paffen CLE, Van der Stigchel S, Sterzer P",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.452,28592696,-1,-1
visual_00007,https://pubmed.ncbi.nlm.nih.gov/11919005/,Processing of changes in visual speech in the human auditory cortex.,"Mottonen R, Krause CM, Tiippana K, Sams M",Brain research. Cognitive brain research,0.432,11919005,-1,-1
visual_00008,https://pubmed.ncbi.nlm.nih.gov/24825505/,Human cortical areas involved in perception of surface glossiness.,"Wada A, Sakano Y, Ando H",NeuroImage,0.432,24825505,-1,-1
visual_00009,https://pubmed.ncbi.nlm.nih.gov/15924866/,Visibility reflects dynamic changes of effective connectivity between V1 and fusiform cortex.,"Haynes JD, Driver J, Rees G",Neuron,0.427,15924866,-1,-1
visual_00010,https://pubmed.ncbi.nlm.nih.gov/23689014/,Orientation pop-out processing in human visual cortex.,"Bogler C, Bode S, Haynes JD",NeuroImage,0.425,23689014,-1,-1
visual_00011,https://pubmed.ncbi.nlm.nih.gov/17389911/,Competing neural responses for auditory and visual decisions.,"Hein G, Alink A, Kleinschmidt A, Muller NG",PloS one,0.413,17389911,10.1371/journal.pone.0000320,-1
visual_00012,https://pubmed.ncbi.nlm.nih.gov/19083992/,Multimodal motion processing in area V5/MT: evidence from an artificial class of  audio-visual events.,"Scheef L, Boecker H, Daamen M, Fehse U, Landsberg MW, Granath DO, Mechling H, Effenberg AO",Brain research,0.41,19083992,10.1016/j.brainres.2008.10.067,-1
visual_00013,https://pubmed.ncbi.nlm.nih.gov/18224306/,Alterations of the visual pathways in congenital blindness.,"Ptito M, Schneider FC, Paulson OB, Kupers R",Experimental brain research,0.407,18224306,10.1007/s00221-008-1273-4,-1
visual_00014,https://pubmed.ncbi.nlm.nih.gov/21296170/,Specialization for written words over objects in the visual cortex.,"Szwed M, Dehaene S, Kleinschmidt A, Eger E, Valabregue R, Amadon A, Cohen L",NeuroImage,0.407,21296170,10.1016/j.neuroimage.2011.01.073,-1
visual_00015,https://pubmed.ncbi.nlm.nih.gov/19755518/,Impaired visual processing preceding image recognition in Parkinson's disease patients with visual hallucinations.,"Meppelink AM, de Jong BM, Renken R, Leenders KL, Cornelissen FW, van Laar T",Brain : a journal of neurology,0.402,19755518,10.1093/brain/awp223,-1
visual_00016,https://pubmed.ncbi.nlm.nih.gov/25985078/,Cerebral Asymmetry of fMRI-BOLD Responses to Visual Stimulation.,"Hougaard A, Jensen BH, Amin FM, Rostrup E, Hoffmann MB, Ashina M",PloS one,0.402,25985078,10.1371/journal.pone.0126477,-1
visual_00017,https://pubmed.ncbi.nlm.nih.gov/26664785/,Rapidly acquired multisensory association in the olfactory cortex.,"Karunanayaka PR, Wilson DA, Vasavada M, Wang J, Martinez B, Tobia MJ, Kong L, Eslinger P, Yang QX",Brain and behavior,0.402,26664785,-1,-1
visual_00018,https://pubmed.ncbi.nlm.nih.gov/20079443/,Visual guidance modulates hemispheric asymmetries during an interlimb coordination task.,"Woolley DG, Wenderoth N, Heuninckx S, Zhang X, Callaert D, Swinnen SP",NeuroImage,0.399,20079443,-1,-1
visual_00019,https://pubmed.ncbi.nlm.nih.gov/20621984/,Top-down modulations in the visual form pathway revealed with dynamic causal modeling.,"Cardin V, Friston KJ, Zeki S","Cerebral cortex (New York, N.Y. : 1991)",0.398,20621984,-1,-1
visual_00020,https://pubmed.ncbi.nlm.nih.gov/24116838/,Effects of literacy in early visual and occipitotemporal areas of Chinese and French readers.,"Szwed M, Qiao E, Jobert A, Dehaene S, Cohen L",Journal of cognitive neuroscience,0.397,24116838,-1,-1
visual_00021,https://pubmed.ncbi.nlm.nih.gov/23507388/,Crossmodal interactions of haptic and visual texture information in early sensory cortex.,"Eck J, Kaas AL, Goebel R",NeuroImage,0.394,23507388,10.1016/j.neuroimage.2013.02.075,-1
visual_00022,https://pubmed.ncbi.nlm.nih.gov/28139959/,Inside Speech: Multisensory and Modality-specific Processing of Tongue and Lip Speech Actions.,"Treille A, Vilain C, Hueber T, Lamalle L, Sato M",Journal of cognitive neuroscience,0.394,28139959,10.1162/jocn_a_01057,-1
visual_00023,https://pubmed.ncbi.nlm.nih.gov/20660419/,Rewarding feedback after correct visual discriminations has both general and specific influences on visual cortex.,"Weil RS, Furl N, Ruff CC, Symmonds M, Flandin G, Dolan RJ, Driver J, Rees G",Journal of neurophysiology,0.391,20660419,10.1152/jn.00870.2009,-1
