paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
vocal_00001,https://pubmed.ncbi.nlm.nih.gov/27436593/,Exploring the anatomical encoding of voice with a mathematical model of the vocal system.,"Assaneo MF, Sitt J, Varoquaux G, Sigman M, Cohen L, Trevisan MA",NeuroImage,0.74,27436593,-1,-1
vocal_00002,https://pubmed.ncbi.nlm.nih.gov/26696298/,The Neural Basis of Vocal Pitch Imitation in Humans.,"Belyk M, Pfordresher PQ, Liotti M, Brown S",Journal of cognitive neuroscience,0.57,26696298,-1,-1
vocal_00003,https://pubmed.ncbi.nlm.nih.gov/28195525/,Observing Others Speak or Sing Activates Spt and Neighboring Parietal Cortex.,"Corbo D, Orban GA",Journal of cognitive neuroscience,0.568,28195525,-1,-1
vocal_00004,https://pubmed.ncbi.nlm.nih.gov/25676678/,Modulation of the motor cortex during singing-voice perception.,"Leveque Y, Schon D",Neuropsychologia,0.565,25676678,-1,-1
vocal_00005,https://pubmed.ncbi.nlm.nih.gov/17607327/,The voice of emotion: an FMRI study of neural responses to angry and happy vocal  expressions.,"Johnstone T, van Reekum CM, Oakes TR, Davidson RJ",Social cognitive and affective neuroscience,0.559,17607327,-1,-1
vocal_00006,https://pubmed.ncbi.nlm.nih.gov/20567521/,Vocal accuracy and neural plasticity following micromelody-discrimination training.,"Zarate JM, Delhommeau K, Wood S, Zatorre RJ",PloS one,0.509,20567521,10.1371/journal.pone.0011181,-1
vocal_00007,https://pubmed.ncbi.nlm.nih.gov/23554488/,Experience-dependent modulation of feedback integration during singing: role of the right anterior insula.,"Kleber B, Zeitouni AG, Friberg A, Zatorre RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.493,23554488,10.1523/JNEUROSCI.4418-12.2013,-1
vocal_00008,https://pubmed.ncbi.nlm.nih.gov/18343163/,Experience-dependent neural substrates involved in vocal pitch regulation during  singing.,"Zarate JM, Zatorre RJ",NeuroImage,0.491,18343163,10.1016/j.neuroimage.2008.01.026,-1
vocal_00009,https://pubmed.ncbi.nlm.nih.gov/26029069/,Aggressive vocal expressions-an investigation of their underlying neural network.,"Klaas HS, Fruhholz S, Grandjean D",Frontiers in behavioral neuroscience,0.486,26029069,-1,-1
vocal_00010,https://pubmed.ncbi.nlm.nih.gov/22360624/,The superior temporal sulcus differentiates communicative and noncommunicative auditory signals.,"Shultz S, Vouloumanos A, Pelphrey K",Journal of cognitive neuroscience,0.464,22360624,-1,-1
vocal_00011,https://pubmed.ncbi.nlm.nih.gov/27034024/,Voxel-based morphometry in opera singers: Increased gray-matter volume in right somatosensory and auditory cortices.,"Kleber B, Veit R, Moll CV, Gaser C, Birbaumer N, Lotze M",NeuroImage,0.464,27034024,-1,-1
vocal_00012,https://pubmed.ncbi.nlm.nih.gov/21162043/,Finding your voice: a singing lesson from functional imaging.,"Wilson SJ, Abbott DF, Lusher D, Gentle EC, Jackson GD",Human brain mapping,0.454,21162043,-1,-1
vocal_00013,https://pubmed.ncbi.nlm.nih.gov/18299209/,When vocal processing gets emotional: on the role of social orientation in relevance detection by the human amygdala.,"Schirmer A, Escoffier N, Zysset S, Koester D, Striano T, Friederici AD",NeuroImage,0.45,18299209,-1,-1
vocal_00014,https://pubmed.ncbi.nlm.nih.gov/19692631/,The brain of opera singers: experience-dependent changes in functional activation.,"Kleber B, Veit R, Birbaumer N, Gruzelier J, Lotze M","Cerebral cortex (New York, N.Y. : 1991)",0.443,19692631,-1,-1
vocal_00015,https://pubmed.ncbi.nlm.nih.gov/27916664/,Experience-dependent modulation of right anterior insula and sensorimotor regions as a function of noise-masked auditory feedback in singers and nonsingers.,"Kleber B, Friberg A, Zeitouni A, Zatorre R",NeuroImage,0.436,27916664,-1,-1
vocal_00016,https://pubmed.ncbi.nlm.nih.gov/17709121/,A parietal-temporal sensory-motor integration area for the human vocal tract: evidence from an fMRI study of skilled musicians.,"Pa J, Hickok G",Neuropsychologia,0.413,17709121,-1,-1
vocal_00017,https://pubmed.ncbi.nlm.nih.gov/17652461/,A larynx area in the human motor cortex.,"Brown S, Ngan E, Liotti M","Cerebral cortex (New York, N.Y. : 1991)",0.412,17652461,-1,-1
vocal_00018,https://pubmed.ncbi.nlm.nih.gov/11532889/,Anterior cingulate cortex and response conflict: effects of response modality and processing domain.,"Barch DM, Braver TS, Akbudak E, Conturo T, Ollinger J, Snyder A","Cerebral cortex (New York, N.Y. : 1991)",0.402,11532889,-1,-1
vocal_00019,https://pubmed.ncbi.nlm.nih.gov/19896958/,Neural networks involved in voluntary and involuntary vocal pitch regulation in experienced singers.,"Zarate JM, Wood S, Zatorre RJ",Neuropsychologia,0.343,19896958,10.1016/j.neuropsychologia.2009.10.025,-1
