paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
vs_00001,https://pubmed.ncbi.nlm.nih.gov/26058801/,Balanced modulation of striatal activation from D /D receptors in caudate and ventral striatum: Disruption in cannabis abusers.,"Tomasi D, Wang GJ, Volkow ND",Human brain mapping,0.572,26058801,-1,-1
vs_00002,https://pubmed.ncbi.nlm.nih.gov/27876651/,Ventral Striatum Functional Connectivity during Rewards and Losses and Symptomatology in Depressed Patients.,"Quevedo K, Ng R, Scott H, Kodavaganti S, Smyda G, Diwadkar V, Phillips M",Biological psychology,0.441,27876651,-1,-1
vs_00003,https://pubmed.ncbi.nlm.nih.gov/24736176/,Resting state functional connectivity of the basal nucleus of Meynert in humans:  In comparison to the ventral striatum and the effects of age.,"Li CS, Ide JS, Zhang S, Hu S, Chao HH, Zaborszky L",NeuroImage,0.406,24736176,-1,-1
vs_00004,https://pubmed.ncbi.nlm.nih.gov/22281932/,"Mesolimbic recruitment by nondrug rewards in detoxified alcoholics: effort anticipation, reward anticipation, and reward delivery.","Bjork JM, Smith AR, Chen G, Hommer DW",Human brain mapping,0.385,22281932,-1,-1
vs_00005,https://pubmed.ncbi.nlm.nih.gov/23261871/,Sex-based fMRI differences in obese humans in response to high vs. low energy food cues.,"Geliebter A, Pantazatos SP, McOuatt H, Puma L, Gibson CD, Atalayer D",Behavioural brain research,0.381,23261871,-1,-1
vs_00006,https://pubmed.ncbi.nlm.nih.gov/22355285/,Striatal intrinsic reinforcement signals during recognition memory: relationship  to response bias and dysregulation in schizophrenia.,"Wolf DH, Gerraty R, Satterthwaite TD, Loughead J, Campellone T, Elliott MA, Turetsky BI, Gur RC, Gur RE",Frontiers in behavioral neuroscience,0.377,22355285,-1,-1
vs_00007,https://pubmed.ncbi.nlm.nih.gov/25759287/,Winning is not enough: ventral striatum connectivity during physical aggression.,"Buades-Rotger M, Brunnlieb C, Munte TF, Heldmann M, Kramer UM",Brain imaging and behavior,0.373,25759287,-1,-1
vs_00008,https://pubmed.ncbi.nlm.nih.gov/24904991/,Effects of social context on feedback-related activity in the human ventral striatum.,"Simon D, Becker MP, Mothes-Lasch M, Miltner WH, Straube T",NeuroImage,0.372,24904991,-1,-1
vs_00009,https://pubmed.ncbi.nlm.nih.gov/18848742/,Lying about facial recognition: an fMRI study.,"Bhatt S, Mbwana J, Adeyemo A, Sawyer A, Hailu A, Vanmeter J",Brain and cognition,0.371,18848742,-1,-1
vs_00010,https://pubmed.ncbi.nlm.nih.gov/25257972/,Age-related changes in the intrinsic functional connectivity of the human ventral vs. dorsal striatum from childhood to middle age.,"Porter JN, Roy AK, Benson B, Carlisi C, Collins PF, Leibenluft E, Pine DS, Luciana M, Ernst M",Developmental cognitive neuroscience,0.366,25257972,-1,-1
vs_00011,https://pubmed.ncbi.nlm.nih.gov/19384886/,Contingency learning in human fear conditioning involves the ventral striatum.,"Klucken T, Tabbert K, Schweckendiek J, Merz CJ, Kagerer S, Vaitl D, Stark R",Human brain mapping,0.332,19384886,-1,-1
vs_00012,https://pubmed.ncbi.nlm.nih.gov/23774678/,The amygdalostriatal and corticostriatal effective connectivity in anticipation and evaluation of facial attractiveness.,"Yu H, Zhou Z, Zhou X",Brain and cognition,0.328,23774678,-1,-1
vs_00013,https://pubmed.ncbi.nlm.nih.gov/20051318/,Differential processing of metacognitive evaluation and the neural circuitry of the self and others in schizophrenia: a pilot study.,"Murphy ER, Brent BK, Benton M, Pruitt P, Diwadkar V, Rajarethinam RP, Keshavan MS",Schizophrenia research,0.315,20051318,-1,-1
vs_00014,https://pubmed.ncbi.nlm.nih.gov/26640767/,Classifying individuals at high-risk for psychosis based on functional brain activity during working memory processing.,"Bendfeldt K, Smieskova R, Koutsouleris N, Kloppel S, Schmidt A, Walter A, Harrisberger F, Wrege J, Simon A, Taschler B, Nichols T, Riecher-Rossler A, Lang UE, Radue EW, Borgwardt S",NeuroImage. Clinical,0.306,26640767,-1,-1
vs_00015,https://pubmed.ncbi.nlm.nih.gov/18031826/,Toward a functional neuroanatomy of premenstrual dysphoric disorder.,"Protopopescu X, Tuescher O, Pan H, Epstein J, Root J, Chang L, Altemus M, Polanecsky M, McEwen B, Stern E, Silbersweig D",Journal of affective disorders,0.304,18031826,-1,-1
vs_00016,https://pubmed.ncbi.nlm.nih.gov/21382560/,"Entering adolescence: resistance to peer influence, risky behavior, and neural changes in emotion reactivity.","Pfeifer JH, Masten CL, Moore WE 3rd, Oswald TM, Mazziotta JC, Iacoboni M, Dapretto M",Neuron,0.302,21382560,-1,-1
vs_00017,https://pubmed.ncbi.nlm.nih.gov/23346054/,Lateralized interactive social content and valence processing within the human amygdala.,"Vrticka P, Sander D, Vuilleumier P",Frontiers in human neuroscience,0.3,23346054,-1,-1
vs_00018,https://pubmed.ncbi.nlm.nih.gov/23684882/,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,"Mainieri AG, Heim S, Straube B, Binkofski F, Kircher T",NeuroImage,0.297,23684882,-1,-1
vs_00019,https://pubmed.ncbi.nlm.nih.gov/20603219/,Neural correlates of real-world route learning.,"Schinazi VR, Epstein RA",NeuroImage,0.296,20603219,-1,-1
vs_00020,https://pubmed.ncbi.nlm.nih.gov/27442458/,"Preliminary investigation of the relationships between sleep duration, reward circuitry function, and mood dysregulation in youth offspring of parents with bipolar disorder.","Soehner AM, Bertocci MA, Manelis A, Bebko G, Ladouceur CD, Graur S, Monk K, Bonar LK, Hickey MB, Axelson D, Goldstein BI, Goldstein TR, Birmaher B, Phillips ML",Journal of affective disorders,0.296,27442458,-1,-1
vs_00021,https://pubmed.ncbi.nlm.nih.gov/24315838/,Dissociable roles of default-mode regions during episodic encoding.,"Maillet D, Rajah MN",NeuroImage,0.293,24315838,-1,-1
vs_00022,https://pubmed.ncbi.nlm.nih.gov/28633048/,Affective traits and history of depression are related to ventral striatum connectivity.,"DelDonno SR, Jenkins LM, Crane NA, Nusslock R, Ryan KA, Shankman SA, Phan KL, Langenecker SA",Journal of affective disorders,0.276,28633048,-1,-1
vs_00023,https://pubmed.ncbi.nlm.nih.gov/19350563/,Functional connectivity in the default network during resting state is preserved  in a vegetative but not in a brain dead patient.,"Boly M, Tshibanda L, Vanhaudenhuyse A, Noirhomme Q, Schnakers C, Ledoux D, Boveroux P, Garweg C, Lambermont B, Phillips C, Luxen A, Moonen G, Bassetti C, Maquet P, Laureys S",Human brain mapping,0.275,19350563,-1,-1
vs_00024,https://pubmed.ncbi.nlm.nih.gov/24512819/,"A cross-sectional and longitudinal analysis of reward-related brain activation: effects of age, pubertal stage, and reward sensitivity.","van Duijvenvoorde AC, Op de Macks ZA, Overgaauw S, Gunther Moor B, Dahl RE, Crone EA",Brain and cognition,0.273,24512819,-1,-1
vs_00025,https://pubmed.ncbi.nlm.nih.gov/24005303/,Simultaneous EEG and fMRI reveals a causally connected subcortical-cortical network during reward anticipation.,"Plichta MM, Wolf I, Hohmann S, Baumeister S, Boecker R, Schwarz AJ, Zangl M, Mier D, Diener C, Meyer P, Holz N, Ruf M, Gerchen MF, Bernal-Casas D, Kolev V, Yordanova J, Flor H, Laucht M, Banaschewski T, Kirsch P, Meyer-Lindenberg A, Brandeis D",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.272,24005303,-1,-1
vs_00026,https://pubmed.ncbi.nlm.nih.gov/18471837/,Top-down and bottom-up attention to memory: a hypothesis (AtoM) on the role of the posterior parietal cortex in memory retrieval.,"Ciaramelli E, Grady CL, Moscovitch M",Neuropsychologia,0.268,18471837,-1,-1
vs_00027,https://pubmed.ncbi.nlm.nih.gov/26208746/,Altered threat and safety neural processing linked to persecutory delusions in schizophrenia: a two-task fMRI study.,"Perez DL, Pan H, Weisholtz DS, Root JC, Tuescher O, Fischer DB, Butler T, Vago DR, Isenberg N, Epstein J, Landa Y, Smith TE, Savitz AJ, Silbersweig DA, Stern E",Psychiatry research,0.267,26208746,-1,-1
vs_00028,https://pubmed.ncbi.nlm.nih.gov/26483212/,Processing of decision-making and social threat in patients with history of suicidal attempt: A neuroimaging replication study.,"Olie E, Ding Y, Le Bars E, de Champfleur NM, Mura T, Bonafe A, Courtet P, Jollant F",Psychiatry research,0.261,26483212,-1,-1
vs_00029,https://pubmed.ncbi.nlm.nih.gov/24212504/,Fractionating the neural correlates of individual working memory components underlying arithmetic problem solving skills in children.,"Metcalfe AW, Ashkenazi S, Rosenberg-Lee M, Menon V",Developmental cognitive neuroscience,0.26,24212504,-1,-1
vs_00030,https://pubmed.ncbi.nlm.nih.gov/18061483/,The subcortical role of language processing. High level linguistic features such  as ambiguity-resolution and the human brain; an fMRI study.,"Ketteler D, Kastrau F, Vohn R, Huber W",NeuroImage,0.259,18061483,-1,-1
vs_00031,https://pubmed.ncbi.nlm.nih.gov/23576970/,Neural representation of the sensorimotor speech-action-repository.,"Eckers C, Kroger BJ, Sass K, Heim S",Frontiers in human neuroscience,0.258,23576970,10.3389/fnhum.2013.00121,-1
vs_00032,https://pubmed.ncbi.nlm.nih.gov/26635557/,Incidental Memory Encoding Assessed with Signal Detection Theory and Functional Magnetic Resonance Imaging (fMRI).,"Clemens B, Regenbogen C, Koch K, Backes V, Romanczuk-Seiferth N, Pauly K, Shah NJ, Schneider F, Habel U, Kellermann T",Frontiers in behavioral neuroscience,0.258,26635557,-1,-1
vs_00033,https://pubmed.ncbi.nlm.nih.gov/12599272/,A cross-linguistic fMRI study of perception of intonation and emotion in Chinese.,"Gandour J, Wong D, Dzemidzic M, Lowe M, Tong Y, Li X",Human brain mapping,0.255,12599272,-1,-1
vs_00034,https://pubmed.ncbi.nlm.nih.gov/26673945/,Fronto-striatal organization: Defining functional and microstructural substrates  of behavioural flexibility.,"Morris LS, Kundu P, Dowell N, Mechelmans DJ, Favre P, Irvine MA, Robbins TW, Daw N, Bullmore ET, Harrison NA, Voon V",Cortex; a journal devoted to the study of the nervous system and behavior,0.254,26673945,-1,-1
vs_00035,https://pubmed.ncbi.nlm.nih.gov/18752410/,Dorsal striatal-midbrain connectivity in humans predicts how reinforcements are used to guide decisions.,"Kahnt T, Park SQ, Cohen MX, Beck A, Heinz A, Wrase J",Journal of cognitive neuroscience,0.252,18752410,-1,-1
vs_00036,https://pubmed.ncbi.nlm.nih.gov/21828112/,Neural circuitry underlying affective response to peer feedback in adolescence.,"Guyer AE, Choate VR, Pine DS, Nelson EE",Social cognitive and affective neuroscience,0.251,21828112,-1,-1
vs_00037,https://pubmed.ncbi.nlm.nih.gov/21624476/,Ventral striatal and medial prefrontal BOLD activation is correlated with reward-related electrocortical activity: a combined ERP and fMRI study.,"Carlson JM, Foti D, Mujica-Parodi LR, Harmon-Jones E, Hajcak G",NeuroImage,0.246,21624476,-1,-1
vs_00038,https://pubmed.ncbi.nlm.nih.gov/26395293/,Hyper-influence of the orbitofrontal cortex over the ventral striatum in obsessive-compulsive disorder.,"Abe Y, Sakai Y, Nishida S, Nakamae T, Yamada K, Fukui K, Narumoto J",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.24,26395293,-1,-1
vs_00039,https://pubmed.ncbi.nlm.nih.gov/24745476/,Changes in resting functional connectivity during abstinence in stimulant use disorder: a preliminary comparison of relapsers and abstainers.,"Camchong J, Macdonald AW 3rd, Mueller BA, Nelson B, Specker S, Slaymaker V, Lim KO",Drug and alcohol dependence,0.239,24745476,-1,-1
vs_00040,https://pubmed.ncbi.nlm.nih.gov/22921709/,Neural responsivity to food cues in fasted and fed states pre and post gastric bypass surgery.,"Ochner CN, Laferrere B, Afifi L, Atalayer D, Geliebter A, Teixeira J",Neuroscience research,0.23,22921709,-1,-1
vs_00041,https://pubmed.ncbi.nlm.nih.gov/20123028/,The spatial and temporal dynamics of anticipatory preparation and response inhibition in task-switching.,"Jamadar S, Hughes M, Fulham WR, Michie PT, Karayanidis F",NeuroImage,0.229,20123028,-1,-1
vs_00042,https://pubmed.ncbi.nlm.nih.gov/18573512/,The influence of personality on neural mechanisms of observational fear and reward learning.,"Hooker CI, Verosky SC, Miyakawa A, Knight RT, D'Esposito M",Neuropsychologia,0.226,18573512,-1,-1
vs_00043,https://pubmed.ncbi.nlm.nih.gov/21671045/,Variables influencing the neural correlates of perceived risk of physical harm.,"Coaster M, Rogers BP, Jones OD, Viscusi WK, Merkle KL, Zald DH, Gore JC","Cognitive, affective & behavioral neuroscience",0.223,21671045,-1,-1
vs_00044,https://pubmed.ncbi.nlm.nih.gov/23847507/,Framing the ultimatum game: the contribution of simulation.,"Tomasino B, Lotto L, Sarlo M, Civai C, Rumiati R, Rumiati RI",Frontiers in human neuroscience,0.223,23847507,-1,-1
vs_00045,https://pubmed.ncbi.nlm.nih.gov/24948156/,Neural patterns underlying social comparisons of personal performance.,"Lindner M, Rudorf S, Birg R, Falk A, Weber B, Fliessbach K",Social cognitive and affective neuroscience,0.221,24948156,-1,-1
vs_00046,https://pubmed.ncbi.nlm.nih.gov/22021653/,An fMRI study of the brain responses of traumatized mothers to viewing their toddlers during separation and play.,"Schechter DS, Moser DA, Wang Z, Marsh R, Hao X, Duan Y, Yu S, Gunter B, Murphy D, McCaw J, Kangarlu A, Willheim E, Myers MM, Hofer MA, Peterson BS",Social cognitive and affective neuroscience,0.22,22021653,-1,-1
