paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
wm_00001,https://pubmed.ncbi.nlm.nih.gov/20828302/,Load modulation of BOLD response and connectivity predicts working memory performance in younger and older adults.,"Nagel IE, Preuschhof C, Li SC, Nyberg L, Backman L, Lindenberger U, Heekeren HR",Journal of cognitive neuroscience,0.768,20828302,-1,-1
wm_00002,https://pubmed.ncbi.nlm.nih.gov/27026657/,Working memory filtering continues to develop into late adolescence.,"Peverill M, McLaughlin KA, Finn AS, Sheridan MA",Developmental cognitive neuroscience,0.748,27026657,-1,-1
wm_00003,https://pubmed.ncbi.nlm.nih.gov/15006656/,Hemispheric specialization of the lateral prefrontal cortex for strategic processing during spatial and shape working memory.,"Manoach DS, White NS, Lindgren KA, Heckers S, Coleman MJ, Dubal S, Holzman PS",NeuroImage,0.728,15006656,-1,-1
wm_00004,https://pubmed.ncbi.nlm.nih.gov/26388758/,Brain activation during associative short-term memory maintenance is not predictive for subsequent retrieval.,"Bergmann HC, Daselaar SM, Beul SF, Rijpkema M, Fernandez G, Kessels RP",Frontiers in human neuroscience,0.721,26388758,-1,-1
wm_00005,https://pubmed.ncbi.nlm.nih.gov/18155446/,Automatization and working memory capacity in schizophrenia.,"van Raalten TR, Ramsey NF, Jansma JM, Jager G, Kahn RS",Schizophrenia research,0.699,18155446,10.1016/j.schres.2007.10.035,-1
wm_00006,https://pubmed.ncbi.nlm.nih.gov/24051015/,Working memory and default mode network abnormalities in unaffected siblings of schizophrenia patients.,"de Leeuw M, Kahn RS, Zandbelt BB, Widschwendter CG, Vink M",Schizophrenia research,0.687,24051015,-1,-1
wm_00007,https://pubmed.ncbi.nlm.nih.gov/22330313/,Neural correlates of working memory in Temporal Lobe Epilepsy--an fMRI study.,"Stretton J, Winston G, Sidhu M, Centeno M, Vollmar C, Bonelli S, Symms M, Koepp M, Duncan JS, Thompson PJ",NeuroImage,0.677,22330313,-1,-1
wm_00008,https://pubmed.ncbi.nlm.nih.gov/17947348/,Bilateral generic working memory circuit requires left-lateralized addition for verbal processing.,"Ray MK, Mackay CE, Harmer CJ, Crow TJ","Cerebral cortex (New York, N.Y. : 1991)",0.661,17947348,-1,-1
wm_00009,https://pubmed.ncbi.nlm.nih.gov/16984899/,Functions of the left superior frontal gyrus in humans: a lesion study.,"du Boisgueheneuc F, Levy R, Volle E, Seassau M, Duffau H, Kinkingnehun S, Samson Y, Zhang S, Dubois B",Brain : a journal of neurology,0.656,16984899,-1,-1
wm_00010,https://pubmed.ncbi.nlm.nih.gov/23874935/,The importance of encoding-related neural dynamics in the prediction of inter-individual differences in verbal working memory performance.,"Majerus S, Salmon E, Attout L",PloS one,0.656,23874935,-1,-1
wm_00011,https://pubmed.ncbi.nlm.nih.gov/25146374/,Cross-Modal Decoding of Neural Patterns Associated with Working Memory: Evidence  for Attention-Based Accounts of Working Memory.,"Majerus S, Cowan N, Peters F, Van Calster L, Phillips C, Schrouff J","Cerebral cortex (New York, N.Y. : 1991)",0.642,25146374,-1,-1
wm_00012,https://pubmed.ncbi.nlm.nih.gov/18403397/,Interaction of working memory and long-term memory in the medial temporal lobe.,"Axmacher N, Schmitz DP, Weinreich I, Elger CE, Fell J","Cerebral cortex (New York, N.Y. : 1991)",0.64,18403397,-1,-1
wm_00013,https://pubmed.ncbi.nlm.nih.gov/26615571/,The neurodevelopmental differences of increasing verbal working memory demand in  children and adults.,"Vogan VM, Morgan BR, Powell TL, Smith ML, Taylor MJ",Developmental cognitive neuroscience,0.635,26615571,-1,-1
wm_00014,https://pubmed.ncbi.nlm.nih.gov/16076549/,Intact hemispheric specialization for spatial and shape working memory in schizophrenia.,"Manoach DS, White N, Lindgren KA, Heckers S, Coleman MJ, Dubal S, Goff DC, Holzman PS",Schizophrenia research,0.632,16076549,-1,-1
wm_00015,https://pubmed.ncbi.nlm.nih.gov/21781193/,Common capacity-limited neural mechanisms of selective attention and spatial working memory encoding.,"Fusser F, Linden DE, Rahm B, Hampel H, Haenschel C, Mayer JS",The European journal of neuroscience,0.627,21781193,-1,-1
wm_00016,https://pubmed.ncbi.nlm.nih.gov/18172852/,Cortical dysfunction in patients with Huntington's disease during working memory  performance.,"Wolf RC, Vasic N, Schonfeldt-Lecuona C, Ecker D, Landwehrmeyer GB",Human brain mapping,0.626,18172852,-1,-1
wm_00017,https://pubmed.ncbi.nlm.nih.gov/21568643/,Functional imaging reveals working memory and attention interact to produce the attentional blink.,"Johnston SJ, Linden DE, Shapiro KL",Journal of cognitive neuroscience,0.62,21568643,-1,-1
wm_00018,https://pubmed.ncbi.nlm.nih.gov/18510448/,Development of spatial and verbal working memory capacity in the human brain.,"Thomason ME, Race E, Burrows B, Whitfield-Gabrieli S, Glover GH, Gabrieli JD",Journal of cognitive neuroscience,0.618,18510448,-1,-1
wm_00019,https://pubmed.ncbi.nlm.nih.gov/25132644/,Hyper-coupling between working memory task-evoked activations and amplitude of spontaneous fluctuations in first-episode schizophrenia.,"Zhou Y, Wang Z, Zuo XN, Zhang H, Wang Y, Jiang T, Liu Z",Schizophrenia research,0.609,25132644,-1,-1
wm_00020,https://pubmed.ncbi.nlm.nih.gov/19309321/,Interference of working memory load with long-term memory formation.,"Axmacher N, Haupt S, Cohen MX, Elger CE, Fell J",The European journal of neuroscience,0.604,19309321,-1,-1
wm_00021,https://pubmed.ncbi.nlm.nih.gov/21425391/,Common and distinct neural regions for the guidance of selection by visuoverbal information held in memory: converging evidence from fMRI and rTMS.,"Soto D, Rotshtein P, Hodsoll J, Mevorach C, Humphreys GW",Human brain mapping,0.603,21425391,-1,-1
wm_00022,https://pubmed.ncbi.nlm.nih.gov/21775675/,Competition in working memory reduces frontal guidance of visual selection.,"Soto D, Greene CM, Chaudhary A, Rotshtein P","Cerebral cortex (New York, N.Y. : 1991)",0.6,21775675,-1,-1
