paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
written_00001,https://pubmed.ncbi.nlm.nih.gov/24089502/,Selective and invariant neural responses to spoken and written narratives.,"Regev M, Honey CJ, Simony E, Hasson U",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.48,24089502,-1,-1
written_00002,https://pubmed.ncbi.nlm.nih.gov/20433242/,The literate brain: the relationship between spelling and reading.,"Rapp B, Lipka K",Journal of cognitive neuroscience,0.432,20433242,-1,-1
written_00003,https://pubmed.ncbi.nlm.nih.gov/28163139/,Automaticity of phonological and semantic processing during visual word recognition.,"Pattamadilok C, Chanoine V, Pallier C, Anton JL, Nazarian B, Belin P, Ziegler JC",NeuroImage,0.344,28163139,-1,-1
written_00004,https://pubmed.ncbi.nlm.nih.gov/21425391/,Common and distinct neural regions for the guidance of selection by visuoverbal information held in memory: converging evidence from fMRI and rTMS.,"Soto D, Rotshtein P, Hodsoll J, Mevorach C, Humphreys GW",Human brain mapping,0.322,21425391,-1,-1
written_00005,https://pubmed.ncbi.nlm.nih.gov/21296170/,Specialization for written words over objects in the visual cortex.,"Szwed M, Dehaene S, Kleinschmidt A, Eger E, Valabregue R, Amadon A, Cohen L",NeuroImage,0.276,21296170,-1,-1
written_00006,https://pubmed.ncbi.nlm.nih.gov/21215442/,Brain activations associated with sign production using word and picture inputs in deaf signers.,"Hu Z, Wang W, Liu H, Peng D, Yang Y, Li K, Zhang JX, Ding G",Brain and language,0.268,21215442,-1,-1
written_00007,https://pubmed.ncbi.nlm.nih.gov/27838547/,Neural substrates of sublexical processing for spelling.,"DeMarco AT, Wilson SM, Rising K, Rapcsak SZ, Beeson PM",Brain and language,0.268,27838547,-1,-1
written_00008,https://pubmed.ncbi.nlm.nih.gov/25040779/,When first language is not first: an functional magnetic resonance imaging investigation of the neural basis of diglossia in Arabic.,"Nevat M, Khateb A, Prior A",The European journal of neuroscience,0.265,25040779,-1,-1
written_00009,https://pubmed.ncbi.nlm.nih.gov/16872841/,"Interindividual uniformity and variety of the ""Writing center"": a functional MRI  study.","Sugihara G, Kaminaga T, Sugishita M",NeuroImage,0.232,16872841,-1,-1
written_00010,https://pubmed.ncbi.nlm.nih.gov/25805984/,"A preliminary fMRI study of a novel self-paced written fluency task: observation  of left-hemispheric activation, and increased frontal activation in late vs. early task phases.","Golestanirad L, Das S, Schweizer TA, Graham SJ",Frontiers in human neuroscience,0.229,25805984,-1,-1
written_00011,https://pubmed.ncbi.nlm.nih.gov/21803339/,A supramodal brain substrate of word form processing--an fMRI study on homonym finding with auditory and visual input.,"Balthasar AJ, Huber W, Weis S",Brain research,0.227,21803339,-1,-1
written_00012,https://pubmed.ncbi.nlm.nih.gov/28213115/,Cross-modal representation of spoken and written word meaning in left pars triangularis.,"Liuzzi AG, Bruffaerts R, Peeters R, Adamczuk K, Keuleers E, De Deyne S, Storms G, Dupont P, Vandenberghe R",NeuroImage,0.22,28213115,-1,-1
written_00013,https://pubmed.ncbi.nlm.nih.gov/29175202/,Brain correlates of constituent structure in sign language comprehension.,"Moreno A, Limousin F, Dehaene S, Pallier C",NeuroImage,0.22,29175202,-1,-1
written_00014,https://pubmed.ncbi.nlm.nih.gov/29438844/,Top-down expectation effects of food labels on motivation.,"Wegman J, van Loon I, Smeets PAM, Cools R, Aarts E",NeuroImage,0.217,29438844,-1,-1
written_00015,https://pubmed.ncbi.nlm.nih.gov/19101025/,Dissociating verbal and nonverbal audiovisual object processing.,"Hocking J, Price CJ",Brain and language,0.213,19101025,-1,-1
